word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
protected,0,,22,135,101,24,0.011458333,0.125,0.052604167,0.022222222
void,0,,129,135,48,20,0.0671875,0.125,0.025,0.018518519
createNewServerProcess,0,,183,135,251,24,0.0953125,0.125,0.130729167,0.022222222
Socket,0,,442,135,69,20,0.230208333,0.125,0.0359375,0.018518519
socket,0,,519,135,68,20,0.2703125,0.125,0.035416667,0.018518519
logger,0,,66,162,71,24,0.034375,0.15,0.036979167,0.022222222
info,0,,137,162,48,24,0.071354167,0.15,0.025,0.022222222
"""Received",100,,206,162,100,20,0.107291667,0.15,0.052083333,0.018518519
connection,100,,313,162,112,20,0.163020833,0.15,0.058333333,0.018518519
on,100,,432,162,26,17,0.225,0.15,0.013541667,0.015740741
port,100,,465,162,46,23,0.2421875,0.15,0.023958333,0.021296296
"""",100,,519,162,13,13,0.2703125,0.15,0.006770833,0.012037037
+,0,,539,162,16,16,0.280729167,0.15,0.008333333,0.014814815
getPort,0,,561,162,100,24,0.2921875,0.15,0.052083333,0.022222222
+,1,,669,162,16,16,0.3484375,0.15,0.008333333,0.014814815
"""",101,,692,162,13,13,0.360416667,0.15,0.006770833,0.012037037
from,101,,712,162,49,20,0.370833333,0.15,0.025520833,0.018518519
"[""",101,,769,162,23,24,0.400520833,0.15,0.011979167,0.022222222
+,2,,799,162,16,16,0.416145833,0.15,0.008333333,0.014814815
socket,1,,821,162,72,24,0.427604167,0.15,0.0375,0.022222222
getInetAddress,0,,893,162,167,24,0.465104167,0.15,0.086979167,0.022222222
+,3,,1079,162,16,16,0.561979167,0.15,0.008333333,0.014814815
""":""",0,,1103,162,34,20,0.574479167,0.15,0.017708333,0.018518519
+,4,,21,189,16,16,0.0109375,0.175,0.008333333,0.014814815
socket,2,,43,189,176,24,0.022395833,0.175,0.091666667,0.022222222
getPort,1,,43,189,176,24,0.022395833,0.175,0.091666667,0.022222222
+,5,,226,189,16,16,0.117708333,0.175,0.008333333,0.014814815
"""].""",0,"""]",249,189,23,24,0.1296875,0.175,0.011979167,0.022222222
Thread,0,,64,243,70,20,0.033333333,0.225,0.036458333,0.018518519
t,0,,140,243,15,19,0.072916667,0.225,0.0078125,0.017592593
=,0,,161,243,16,13,0.083854167,0.225,0.008333333,0.012037037
new,0,,184,243,37,17,0.095833333,0.225,0.019270833,0.015740741
Thread,1,,226,243,79,24,0.117708333,0.225,0.041145833,0.022222222
getNewServerProcess,0,,313,243,219,24,0.163020833,0.225,0.1140625,0.022222222
socket,3,,540,243,68,20,0.28125,0.225,0.035416667,0.018518519
t,1,,65,270,16,24,0.033854167,0.25,0.008333333,0.022222222
start,0,,81,270,78,24,0.0421875,0.25,0.040625,0.022222222
getServerProcesses,0,getServerProcesses(),64,297,182,24,0.033333333,0.275,0.094791667,0.022222222
add,0,,246,297,27,24,0.128125,0.275,0.0140625,0.022222222
t,2,,346,297,14,19,0.180208333,0.275,0.007291667,0.017592593
new,1,,65,324,37,17,0.033854167,0.3,0.019270833,0.015740741
Thread,2,,107,324,79,24,0.055729167,0.3,0.041145833,0.022222222
new,2,,194,324,38,17,0.101041667,0.3,0.019791667,0.015740741
Monitor,0,,237,324,89,24,0.1234375,0.3,0.046354167,0.022222222
t,3,,335,324,14,19,0.174479167,0.3,0.007291667,0.017592593
)),0,,358,324,30,24,0.186458333,0.3,0.015625,0.022222222
start,1,,388,324,74,24,0.202083333,0.3,0.038541667,0.022222222
