word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
Command,0,,96,135,81,20,0.05,0.125,0.0421875,0.018518519
getBackCommand12,0,,183,135,198,24,0.0953125,0.125,0.103125,0.022222222
if,0,,64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
backCommand12,0,,119,162,144,20,0.061979167,0.15,0.075,0.018518519
==,0,,269,162,27,13,0.140104167,0.15,0.0140625,0.012037037
null,0,,302,162,48,20,0.157291667,0.15,0.025,0.018518519
//GEN-END:,200,,378,162,120,24,0.196875,0.15,0.0625,0.022222222
|264-getter|0|264-preInit,200,,500,162,270,24,0.260416667,0.15,0.140625,0.022222222
//,201,,108,189,26,20,0.05625,0.175,0.013541667,0.018518519
write,201,,139,189,60,20,0.072395833,0.175,0.03125,0.018518519
pre-init,201,,205,189,90,24,0.106770833,0.175,0.046875,0.022222222
user,201,,302,189,48,17,0.157291667,0.175,0.025,0.015740741
code,201,,356,189,48,20,0.185416667,0.175,0.025,0.018518519
here,201,,410,189,48,20,0.213541667,0.175,0.025,0.018518519
backCommand12,1,,108,216,145,20,0.05625,0.2,0.075520833,0.018518519
=,0,,259,216,16,13,0.134895833,0.2,0.008333333,0.012037037
new,0,,281,216,37,17,0.146354167,0.2,0.019270833,0.015740741
Command,1,,323,216,90,24,0.168229167,0.2,0.046875,0.022222222
"""OK""",0,,422,216,54,23,0.219791667,0.2,0.028125,0.021296296
Command,2,,485,216,83,23,0.252604167,0.2,0.043229167,0.021296296
BACK,0,,568,216,47,23,0.295833333,0.2,0.024479167,0.021296296
0,0,,637,216,16,19,0.331770833,0.2,0.008333333,0.017592593
//GEN-LINE:,202,,661,216,140,24,0.344270833,0.2,0.072916667,0.022222222
|,202,,813,216,9,24,0.4234375,0.2,0.0046875,0.022222222
264-getter,202,,831,216,113,23,0.4328125,0.2,0.058854167,0.021296296
|,202,,954,216,8,24,0.496875,0.2,0.004166667,0.022222222
1,202,,972,216,16,19,0.50625,0.2,0.008333333,0.017592593
|,202,,997,216,9,24,0.519270833,0.2,0.0046875,0.022222222
264-postInit,202,,1015,216,133,24,0.528645833,0.2,0.069270833,0.022222222
//,203,,108,243,26,20,0.05625,0.225,0.013541667,0.018518519
write,203,,139,243,60,20,0.072395833,0.225,0.03125,0.018518519
post-init,203,,205,243,101,24,0.106770833,0.225,0.052604167,0.022222222
user,203,,313,243,47,17,0.163020833,0.225,0.024479167,0.015740741
code,203,,367,243,48,20,0.191145833,0.225,0.025,0.018518519
here,203,,421,243,48,20,0.219270833,0.225,0.025,0.018518519
//GEN-BEGIN:,204,,65,270,141,24,0.033854167,0.25,0.0734375,0.022222222
|,204,,219,270,9,24,0.1140625,0.25,0.0046875,0.022222222
264-getter,204,,237,270,113,23,0.1234375,0.25,0.058854167,0.021296296
|,204,,359,270,9,24,0.186979167,0.25,0.0046875,0.022222222
2,204,,378,270,15,19,0.196875,0.25,0.0078125,0.017592593
|,204,,403,270,8,24,0.209895833,0.25,0.004166667,0.022222222
return,0,,65,297,69,19,0.033854167,0.275,0.0359375,0.017592593
backCommand12,2,,140,297,153,23,0.072916667,0.275,0.0796875,0.021296296
