word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
String,0,,96,135,70,24,0.05,0.125,0.036458333,0.022222222
getClassNameForLookAndFeel,0,,172,135,295,24,0.089583333,0.125,0.153645833,0.022222222
String,1,,475,135,69,24,0.247395833,0.125,0.0359375,0.022222222
name,0,,551,135,48,17,0.286979167,0.125,0.025,0.015740741
if,0,,64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
lfNameToLookAndFeel,0,,120,162,213,24,0.0625,0.15,0.1109375,0.022222222
containsKey,0,,333,162,123,24,0.1734375,0.15,0.0640625,0.022222222
name,1,,475,162,48,17,0.247395833,0.15,0.025,0.015740741
UIManager,0,,108,189,99,24,0.05625,0.175,0.0515625,0.022222222
LookAndFeelInfo,0,,207,189,165,24,0.1078125,0.175,0.0859375,0.022222222
lookAndFeelInfo,0,,390,189,165,20,0.203125,0.175,0.0859375,0.018518519
=,0,,561,189,16,13,0.2921875,0.175,0.008333333,0.012037037
UIManager,1,,216,216,99,24,0.1125,0.2,0.0515625,0.022222222
LookAndFeelInfo,1,,315,216,165,24,0.1640625,0.2,0.0859375,0.022222222
lfNameToLookAndFeel,1,,519,216,216,24,0.2703125,0.2,0.1125,0.022222222
get,0,,735,216,34,24,0.3828125,0.2,0.017708333,0.022222222
name,2,,789,216,47,17,0.4109375,0.2,0.024479167,0.015740741
return,0,,109,243,68,19,0.056770833,0.225,0.035416667,0.017592593
lookAndFeelInfo,1,,184,243,180,24,0.095833333,0.225,0.09375,0.022222222
getClassName,0,,364,243,144,24,0.189583333,0.225,0.075,0.022222222
else,0,,64,297,48,20,0.033333333,0.275,0.025,0.018518519
return,1,,109,324,68,19,0.056770833,0.3,0.035416667,0.017592593
null,0,,184,324,55,23,0.095833333,0.3,0.028645833,0.021296296
