word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
WebImage,0,,96,135,92,24,0.05,0.125,0.047916667,0.022222222
getImageWithSource,0,,194,135,208,24,0.101041667,0.125,0.108333333,0.022222222
String,0,,410,135,69,24,0.213541667,0.125,0.0359375,0.022222222
source,0,,486,135,69,17,0.253125,0.125,0.0359375,0.015740741
WebImage,1,WebImage[],63,162,112,24,0.0328125,0.15,0.058333333,0.022222222
images,0,,183,162,69,24,0.0953125,0.15,0.0359375,0.022222222
=,0,,259,162,16,13,0.134895833,0.15,0.008333333,0.012037037
getImages,0,,280,162,132,24,0.145833333,0.15,0.06875,0.022222222
for,0,,64,216,37,20,0.033333333,0.2,0.019270833,0.018518519
int,0,,129,216,37,20,0.0671875,0.2,0.019270833,0.018518519
i,0,,172,216,16,20,0.089583333,0.2,0.008333333,0.018518519
=,1,,194,216,16,13,0.101041667,0.2,0.008333333,0.012037037
0,0,,216,216,23,22,0.1125,0.2,0.011979167,0.02037037
i,1,,248,216,16,20,0.129166667,0.2,0.008333333,0.018518519
<,0,,269,216,16,16,0.140104167,0.2,0.008333333,0.014814815
images,1,,291,216,77,24,0.1515625,0.2,0.040104167,0.022222222
length,0,,368,216,76,24,0.191666667,0.2,0.039583333,0.022222222
i,2,i++,453,216,38,20,0.2359375,0.2,0.019791667,0.018518519
if,0,,108,243,26,20,0.05625,0.225,0.013541667,0.018518519
HttpUnitUtils,0,,162,243,149,24,0.084375,0.225,0.077604167,0.022222222
matches,0,,311,243,80,24,0.161979167,0.225,0.041666667,0.022222222
source,1,,411,243,76,20,0.2140625,0.225,0.039583333,0.018518519
images,2,,496,243,80,24,0.258333333,0.225,0.041666667,0.022222222
i,3,,583,243,16,20,0.303645833,0.225,0.008333333,0.018518519
],0,,606,243,13,24,0.315625,0.225,0.006770833,0.022222222
getSource,0,,619,243,116,24,0.322395833,0.225,0.060416667,0.022222222
return,0,,789,243,68,19,0.4109375,0.225,0.035416667,0.017592593
images,3,,864,243,79,24,0.45,0.225,0.041145833,0.022222222
i,4,,950,243,16,20,0.494791667,0.225,0.008333333,0.018518519
return,1,,65,297,69,19,0.033854167,0.275,0.0359375,0.017592593
null,0,,140,297,56,23,0.072916667,0.275,0.029166667,0.021296296
