word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
IRodinDBStatus,0,,97,135,155,20,0.050520833,0.125,0.080729167,0.018518519
getRodinDBStatus,0,,259,135,197,24,0.134895833,0.125,0.102604167,0.022222222
IStatus,0,,65,162,79,19,0.033854167,0.15,0.041145833,0.017592593
status,0,,152,162,68,19,0.079166667,0.15,0.035416667,0.017592593
=,0,,226,162,16,13,0.117708333,0.15,0.008333333,0.012037037
this,0,,248,162,53,24,0.129166667,0.15,0.027604167,0.022222222
getStatus,0,,301,162,120,24,0.156770833,0.15,0.0625,0.022222222
if,0,,64,216,27,20,0.033333333,0.2,0.0140625,0.018518519
status,1,vstatus,98,216,90,24,0.051041667,0.2,0.046875,0.022222222
instanceof,0,,194,216,113,20,0.101041667,0.2,0.058854167,0.018518519
IRodinDBStatus,1,,313,216,176,24,0.163020833,0.2,0.091666667,0.022222222
return,0,,109,243,68,19,0.056770833,0.225,0.035416667,0.017592593
IRodinDBStatus,2,(vIRodinDBStatusv,185,243,196,24,0.096354167,0.225,0.102083333,0.022222222
status,2,,389,243,77,22,0.202604167,0.225,0.040104167,0.02037037
else,0,,86,270,48,20,0.044791667,0.25,0.025,0.018518519
//,200,,108,297,26,20,0.05625,0.275,0.013541667,0.018518519
A,200,,139,297,18,19,0.072395833,0.275,0.009375,0.017592593
regular,200,,163,297,79,24,0.084895833,0.275,0.041145833,0.022222222
IStatus,200,,248,297,80,19,0.129166667,0.275,0.041666667,0.017592593
is,200,,334,297,26,20,0.173958333,0.275,0.013541667,0.018518519
created,200,,367,297,80,20,0.191145833,0.275,0.041666667,0.018518519
only,200,,453,297,49,24,0.2359375,0.275,0.025520833,0.022222222
in,200,,507,297,26,20,0.2640625,0.275,0.013541667,0.018518519
the,200,,540,297,37,20,0.28125,0.275,0.019270833,0.018518519
case,200,,583,297,48,17,0.303645833,0.275,0.025,0.015740741
of,200,,637,297,26,20,0.331770833,0.275,0.013541667,0.018518519
a,200,,669,297,16,17,0.3484375,0.275,0.008333333,0.015740741
CoreException,200,,691,297,153,24,0.359895833,0.275,0.0796875,0.022222222
//,201,,108,324,26,20,0.05625,0.3,0.013541667,0.018518519
See,201,,140,324,37,19,0.072916667,0.3,0.019270833,0.017592593
bug,201,,184,324,36,24,0.095833333,0.3,0.01875,0.022222222
13492,201,,227,324,58,19,0.118229167,0.3,0.030208333,0.017592593
Should,201,,291,324,69,20,0.1515625,0.3,0.0359375,0.018518519
handle,201,,367,324,70,20,0.191145833,0.3,0.036458333,0.018518519
RodinDBExceptions,201,,443,324,187,24,0.230729167,0.3,0.097395833,0.022222222
that,201,,637,324,47,20,0.331770833,0.3,0.024479167,0.018518519
contains,201,,691,324,91,20,0.359895833,0.3,0.047395833,0.018518519
//,202,,108,351,26,20,0.05625,0.325,0.013541667,0.018518519
CoreException,202,,140,351,145,24,0.072916667,0.325,0.075520833,0.022222222
more,202,,291,351,48,17,0.1515625,0.325,0.025,0.015740741
gracefully,202,,345,351,113,24,0.1796875,0.325,0.058854167,0.022222222
return,1,,109,378,68,19,0.056770833,0.35,0.035416667,0.017592593
new,0,,184,378,37,17,0.095833333,0.35,0.019270833,0.015740741
RodinDBStatus,0,,227,378,153,24,0.118229167,0.35,0.0796875,0.022222222
this,1,,389,378,44,24,0.202604167,0.35,0.022916667,0.022222222
nestedCoreException,0,,433,378,208,24,0.225520833,0.35,0.108333333,0.022222222
