word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
void,0,,107,135,48,20,0.055729167,0.125,0.025,0.018518519
init,0,,162,135,67,24,0.084375,0.125,0.034895833,0.022222222
_innerData,0,,63,162,115,22,0.0328125,0.15,0.059895833,0.02037037
=,0,,183,162,16,13,0.0953125,0.15,0.008333333,0.012037037
Collections,0,,205,162,124,24,0.106770833,0.15,0.064583333,0.022222222
synchronizedMap,0,,329,162,169,24,0.171354167,0.15,0.088020833,0.022222222
new,0,,519,162,37,17,0.2703125,0.15,0.019270833,0.015740741
LinkedHashMap,0,LinkedHashMap<,562,162,155,24,0.292708333,0.15,0.080729167,0.022222222
String,0,,723,162,77,24,0.3765625,0.15,0.040104167,0.022222222
Object,0,,809,162,69,24,0.421354167,0.15,0.0359375,0.022222222
>,0,,885,162,36,24,0.4609375,0.15,0.01875,0.022222222
Iterator,0,Iterator<,65,189,102,19,0.033854167,0.175,0.053125,0.017592593
Entry,0,,173,189,59,23,0.090104167,0.175,0.030729167,0.021296296
<,2,,237,189,16,16,0.1234375,0.175,0.008333333,0.014814815
String,1,,259,189,77,24,0.134895833,0.175,0.040104167,0.022222222
Object,1,,345,189,69,24,0.1796875,0.175,0.0359375,0.022222222
>,1,>>,421,189,26,16,0.219270833,0.175,0.013541667,0.014814815
itr,0,,453,189,37,20,0.2359375,0.175,0.019270833,0.018518519
=,1,,496,189,16,13,0.258333333,0.175,0.008333333,0.012037037
_srcModel,0,,517,189,108,24,0.269270833,0.175,0.05625,0.022222222
entrySet,0,entrySet(),625,189,120,24,0.325520833,0.175,0.0625,0.022222222
iterator,0,,745,189,96,24,0.388020833,0.175,0.05,0.022222222
while,0,,63,243,69,24,0.0328125,0.225,0.0359375,0.022222222
itr,1,,140,243,39,24,0.072916667,0.225,0.0203125,0.022222222
hasNext,0,,179,243,91,24,0.093229167,0.225,0.047395833,0.022222222
Entry,1,Entry<,108,270,69,23,0.05625,0.25,0.0359375,0.021296296
String,2,,183,270,77,24,0.0953125,0.25,0.040104167,0.022222222
Object,2,,269,270,69,24,0.140104167,0.25,0.0359375,0.022222222
>,3,,345,270,16,16,0.1796875,0.25,0.008333333,0.014814815
entry,0,,367,270,59,23,0.191145833,0.25,0.030729167,0.021296296
=,2,,431,270,16,13,0.224479167,0.25,0.008333333,0.012037037
itr,2,,453,270,45,24,0.2359375,0.25,0.0234375,0.022222222
next,0,,498,270,60,24,0.259375,0.25,0.03125,0.022222222
_innerData,1,,106,297,119,24,0.055208333,0.275,0.061979167,0.022222222
put,0,,225,297,36,24,0.1171875,0.275,0.01875,0.022222222
entry,1,,280,297,68,24,0.145833333,0.275,0.035416667,0.022222222
getKey,0,,348,297,82,24,0.18125,0.275,0.042708333,0.022222222
entry,2,,453,297,63,24,0.2359375,0.275,0.0328125,0.022222222
getValue,0,,516,297,101,24,0.26875,0.275,0.052604167,0.022222222
_srcListener,0,,63,351,135,22,0.0328125,0.325,0.0703125,0.02037037
=,3,,205,351,16,13,0.106770833,0.325,0.008333333,0.012037037
new,1,,227,351,37,17,0.118229167,0.325,0.019270833,0.015740741
ListDataListener,0,,271,351,209,24,0.141145833,0.325,0.108854167,0.022222222
public,1,,108,378,69,24,0.05625,0.35,0.0359375,0.022222222
void,1,,183,378,48,20,0.0953125,0.35,0.025,0.018518519
onChange,0,,237,378,100,24,0.1234375,0.35,0.052083333,0.022222222
ListDataEvent,0,,346,378,144,20,0.180208333,0.35,0.075,0.018518519
event,0,,496,378,58,19,0.258333333,0.35,0.030208333,0.017592593
onListDataChange,0,,108,405,186,24,0.05625,0.375,0.096875,0.022222222
event,1,,302,405,58,19,0.157291667,0.375,0.030208333,0.017592593
"};	",0,,65,459,23,24,0.033854167,0.425,0.011979167,0.022222222
_srcModel,1,,63,486,102,24,0.0328125,0.45,0.053125,0.022222222
addListDataListener,0,,165,486,215,24,0.0859375,0.45,0.111979167,0.022222222
_srcListener,1,,398,486,135,22,0.207291667,0.45,0.0703125,0.02037037
