word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
invalidateSession,0,,151,135,197,24,0.078645833,0.125,0.102604167,0.022222222
String,0,,356,135,69,24,0.185416667,0.125,0.0359375,0.022222222
uid,0,,432,135,44,23,0.225,0.125,0.022916667,0.021296296
String,1,,485,135,70,24,0.252604167,0.125,0.036458333,0.022222222
sid,0,,562,135,36,20,0.292708333,0.125,0.01875,0.018518519
cat,0,,64,162,37,24,0.033333333,0.15,0.019270833,0.022222222
debug,0,,101,162,62,24,0.052604167,0.15,0.032291667,0.022222222
"""==>",100,,184,162,47,18,0.095833333,0.15,0.024479167,0.016666667
invalidateSession,100,,237,162,197,24,0.1234375,0.15,0.102604167,0.022222222
"""",100,,444,162,13,13,0.23125,0.15,0.006770833,0.012037037
+,0,,464,162,16,16,0.241666667,0.15,0.008333333,0.014814815
String,2,,485,162,71,24,0.252604167,0.15,0.036979167,0.022222222
valueOf,0,,556,162,82,24,0.289583333,0.15,0.042708333,0.022222222
uid,1,,659,162,36,20,0.343229167,0.15,0.01875,0.018518519
+,1,,723,162,16,16,0.3765625,0.15,0.008333333,0.014814815
""", """,0,""" ",746,162,44,23,0.388541667,0.15,0.022916667,0.021296296
+,2,,799,162,16,16,0.416145833,0.15,0.008333333,0.014814815
String,3,,820,162,71,24,0.427083333,0.15,0.036979167,0.022222222
valueOf,1,,891,162,82,24,0.4640625,0.15,0.042708333,0.022222222
sid,1,,994,162,36,20,0.517708333,0.15,0.01875,0.018518519
+,3,,1058,162,16,16,0.551041667,0.15,0.008333333,0.014814815
""")""",0,,1081,162,35,24,0.563020833,0.15,0.018229167,0.022222222
synchronized,0,,65,216,133,24,0.033854167,0.2,0.069270833,0.022222222
lock,0,,228,216,46,20,0.11875,0.2,0.023958333,0.018518519
uid2sid,0,,108,243,82,24,0.05625,0.225,0.042708333,0.022222222
remove,0,,190,243,70,24,0.098958333,0.225,0.036458333,0.022222222
uid,2,,281,243,36,20,0.146354167,0.225,0.01875,0.018518519
sid2ssc,0,,108,270,82,24,0.05625,0.25,0.042708333,0.022222222
remove,1,,190,270,70,24,0.098958333,0.25,0.036458333,0.022222222
sid,2,,281,270,36,20,0.146354167,0.25,0.01875,0.018518519
sid2ttl,0,,108,297,82,24,0.05625,0.275,0.042708333,0.022222222
remove,2,,190,297,70,24,0.098958333,0.275,0.036458333,0.022222222
sid,3,,281,297,36,20,0.146354167,0.275,0.01875,0.018518519
cat,1,,64,351,37,24,0.033333333,0.325,0.019270833,0.022222222
debug,1,,101,351,62,24,0.052604167,0.325,0.032291667,0.022222222
"""<==",101,,184,351,47,18,0.095833333,0.325,0.024479167,0.016666667
"invalidateSession()""",101,,237,351,220,24,0.1234375,0.325,0.114583333,0.022222222
