word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
removeView,0,,152,135,120,24,0.079166667,0.125,0.0625,0.022222222
StateViewSmall,0,,280,135,157,20,0.145833333,0.125,0.081770833,0.018518519
view,0,,442,135,49,20,0.230208333,0.125,0.025520833,0.018518519
view,1,,64,162,47,24,0.033333333,0.15,0.024479167,0.022222222
setVisible,0,,111,162,117,24,0.0578125,0.15,0.0609375,0.022222222
FALSE,0,,248,162,59,20,0.129166667,0.15,0.030729167,0.018518519
//,200,,64,189,27,20,0.033333333,0.175,0.0140625,0.018518519
remove,200,,98,189,69,17,0.051041667,0.175,0.0359375,0.015740741
from,200,,172,189,49,20,0.089583333,0.175,0.025520833,0.018518519
scenario,200,,227,189,91,20,0.118229167,0.175,0.047395833,0.018518519
int,0,,64,216,37,20,0.033333333,0.2,0.019270833,0.018518519
removedPosition,0,,109,216,165,20,0.056770833,0.2,0.0859375,0.018518519
=,0,,280,216,16,13,0.145833333,0.2,0.008333333,0.012037037
indexOfView,0,,302,216,132,24,0.157291667,0.2,0.06875,0.022222222
view,2,,442,216,49,20,0.230208333,0.2,0.025520833,0.018518519
mScenarioPanel,0,,64,243,161,24,0.033333333,0.225,0.083854167,0.022222222
remove,0,,225,243,69,24,0.1171875,0.225,0.0359375,0.022222222
removedPosition,1,,314,243,165,20,0.163541667,0.225,0.0859375,0.018518519
//,201,,64,270,27,20,0.033333333,0.25,0.0140625,0.018518519
take,201,,97,270,48,20,0.050520833,0.25,0.025,0.018518519
care,201,,151,270,48,17,0.078645833,0.25,0.025,0.015740741
of,201,,205,270,26,20,0.106770833,0.25,0.013541667,0.018518519
the,201,,238,270,37,20,0.123958333,0.25,0.019270833,0.018518519
big,201,,281,270,36,24,0.146354167,0.25,0.01875,0.022222222
( detailed ),201,,345,270,91,20,0.1796875,0.25,0.047395833,0.018518519
view,201,,464,270,49,20,0.241666667,0.25,0.025520833,0.018518519
if,0,,64,324,27,20,0.033333333,0.3,0.0140625,0.018518519
mCurrentSmallView,0,,118,324,190,20,0.061458333,0.3,0.098958333,0.018518519
!=,0,,316,324,23,19,0.164583333,0.3,0.011979167,0.017592593
null,0,,346,324,47,20,0.180208333,0.3,0.024479167,0.018518519
&&,0,,398,324,29,19,0.207291667,0.3,0.015104167,0.017592593
mCurrentSmallView,1,,431,324,193,24,0.224479167,0.3,0.100520833,0.022222222
equals,0,,624,324,68,24,0.325,0.3,0.035416667,0.022222222
view,3,,712,324,49,20,0.370833333,0.3,0.025520833,0.018518519
mCurrentBigView,0,,107,351,170,24,0.055729167,0.325,0.088541667,0.022222222
setVisible,1,,277,351,113,24,0.144270833,0.325,0.058854167,0.022222222
FALSE,1,,410,351,59,20,0.213541667,0.325,0.030729167,0.018518519
mCurrentBigView,1,,107,378,168,24,0.055729167,0.35,0.0875,0.022222222
=,1,,280,378,16,13,0.145833333,0.35,0.008333333,0.012037037
null,1,,302,378,56,23,0.157291667,0.35,0.029166667,0.021296296
mCurrentSmallView,2,,107,405,190,20,0.055729167,0.375,0.098958333,0.018518519
=,2,,302,405,16,13,0.157291667,0.375,0.008333333,0.012037037
null,2,,324,405,56,23,0.16875,0.375,0.029166667,0.021296296
//,202,,64,459,27,20,0.033333333,0.425,0.0140625,0.018518519
compute,202,,97,459,80,23,0.050520833,0.425,0.041666667,0.021296296
the,202,,184,459,37,20,0.095833333,0.425,0.019270833,0.018518519
new,202,,227,459,37,17,0.118229167,0.425,0.019270833,0.015740741
number,202,,270,459,69,20,0.140625,0.425,0.0359375,0.018518519
of,202,,345,459,27,20,0.1796875,0.425,0.0140625,0.018518519
pixels,202,,378,459,69,24,0.196875,0.425,0.0359375,0.022222222
per,202,,454,459,36,21,0.236458333,0.425,0.01875,0.019444444
scenario,202,,497,459,91,20,0.258854167,0.425,0.047395833,0.018518519
position,202,,594,459,90,24,0.309375,0.425,0.046875,0.022222222
mTimeBar,0,,64,486,94,24,0.033333333,0.45,0.048958333,0.022222222
scaleNumberOfPixelsPerPosition,0,,158,486,351,24,0.082291667,0.45,0.1828125,0.022222222
refresh,0,,65,513,109,24,0.033854167,0.475,0.056770833,0.022222222
