word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
void,0,,107,135,48,20,0.055729167,0.125,0.025,0.018518519
saveCRCReply,0,,162,135,143,24,0.084375,0.125,0.074479167,0.022222222
ClientRemoteContainerReply,0,,313,135,286,24,0.163020833,0.125,0.148958333,0.022222222
crcReply,0,,604,135,92,24,0.314583333,0.125,0.047916667,0.022222222
LoadService,0,,65,162,120,24,0.033854167,0.15,0.0625,0.022222222
currentlyWritingFile,0,,185,162,219,24,0.096354167,0.15,0.1140625,0.022222222
=,0,,421,162,16,13,0.219270833,0.15,0.008333333,0.012037037
TRUE,0,,443,162,55,22,0.230729167,0.15,0.028645833,0.02037037
String,0,,64,189,70,24,0.033333333,0.175,0.036458333,0.022222222
mySavingPath,0,,140,189,134,24,0.072916667,0.175,0.069791667,0.022222222
=,1,,280,189,16,13,0.145833333,0.175,0.008333333,0.012037037
LoadService,1,,303,189,122,23,0.1578125,0.175,0.063541667,0.021296296
SERVICE_NODE_DESCRIPTION_FILE,0,,425,189,322,23,0.221354167,0.175,0.167708333,0.021296296
try,0,,65,216,37,23,0.033854167,0.2,0.019270833,0.021296296
ObjectOutputStream,0,,107,243,200,24,0.055729167,0.225,0.104166667,0.022222222
out,0,,313,243,36,19,0.163020833,0.225,0.01875,0.017592593
=,2,,356,243,16,13,0.185416667,0.225,0.008333333,0.012037037
new,0,,378,243,38,17,0.196875,0.225,0.019791667,0.015740741
ObjectOutputStream,1,,421,243,208,24,0.219270833,0.225,0.108333333,0.022222222
new,1,,637,243,38,17,0.331770833,0.225,0.019791667,0.015740741
FileOutputStream,0,,681,243,185,24,0.3546875,0.225,0.096354167,0.022222222
mySavingPath,1,,874,243,135,24,0.455208333,0.225,0.0703125,0.022222222
out,1,,108,270,35,24,0.05625,0.25,0.018229167,0.022222222
writeObject,0,,143,270,128,24,0.074479167,0.25,0.066666667,0.022222222
crcReply,1,,291,270,92,24,0.1515625,0.25,0.047916667,0.022222222
out,2,,108,297,44,24,0.05625,0.275,0.022916667,0.022222222
flush,0,,152,297,73,24,0.079166667,0.275,0.038020833,0.022222222
out,3,,108,324,44,24,0.05625,0.3,0.022916667,0.022222222
close,0,,152,324,73,24,0.079166667,0.3,0.038020833,0.022222222
catch,0,,86,378,58,20,0.044791667,0.35,0.030208333,0.018518519
FileNotFoundException,0,,173,378,231,24,0.090104167,0.35,0.1203125,0.022222222
e1,0,,410,378,27,19,0.213541667,0.35,0.0140625,0.017592593
e1,1,,108,405,25,24,0.05625,0.375,0.013020833,0.022222222
printStackTrace,0,,133,405,190,24,0.069270833,0.375,0.098958333,0.022222222
catch,1,,86,432,58,20,0.044791667,0.4,0.030208333,0.018518519
IOException,0,,173,432,123,24,0.090104167,0.4,0.0640625,0.022222222
e1,2,,302,432,27,19,0.157291667,0.4,0.0140625,0.017592593
e1,3,,108,459,25,24,0.05625,0.425,0.013020833,0.022222222
printStackTrace,1,,133,459,190,24,0.069270833,0.425,0.098958333,0.022222222
LoadService,2,,65,513,120,24,0.033854167,0.475,0.0625,0.022222222
currentlyWritingFile,1,,185,513,219,24,0.096354167,0.475,0.1140625,0.022222222
=,3,,421,513,16,13,0.219270833,0.475,0.008333333,0.012037037
FALSE,0,,442,513,67,23,0.230208333,0.475,0.034895833,0.021296296
