word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
setPhoto,0,,151,135,100,24,0.078645833,0.125,0.052083333,0.022222222
JdaiPhoto,0,,259,135,102,20,0.134895833,0.125,0.053125,0.018518519
photo,0,,367,135,59,24,0.191145833,0.125,0.030729167,0.022222222
String,0,,64,162,70,24,0.033333333,0.15,0.036458333,0.022222222
text,0,,140,162,47,19,0.072916667,0.15,0.024479167,0.017592593
=,0,,194,162,16,13,0.101041667,0.15,0.008333333,0.012037037
null,0,,216,162,56,23,0.1125,0.15,0.029166667,0.021296296
if,0,,64,216,27,20,0.033333333,0.2,0.0140625,0.018518519
photo,1,,119,216,58,24,0.061979167,0.2,0.030208333,0.022222222
!=,0,,186,216,24,19,0.096875,0.2,0.0125,0.017592593
null,1,,216,216,48,20,0.1125,0.2,0.025,0.018518519
label,0,,109,243,58,24,0.056770833,0.225,0.030208333,0.022222222
setText,0,,167,243,82,24,0.086979167,0.225,0.042708333,0.022222222
"""""",0,,271,243,24,13,0.141145833,0.225,0.0125,0.012037037
try,0,,108,270,37,23,0.05625,0.25,0.019270833,0.021296296
text,1,,151,297,47,19,0.078645833,0.275,0.024479167,0.017592593
=,1,,205,297,16,13,0.106770833,0.275,0.008333333,0.012037037
photo,2,,227,297,56,24,0.118229167,0.275,0.029166667,0.022222222
getSection,0,getSection(),283,297,135,24,0.147395833,0.275,0.0703125,0.022222222
getInfoStore,0,getInfoStore(),418,297,158,24,0.217708333,0.275,0.082291667,0.022222222
getCaption,0,getCaption(photo,576,297,124,24,0.3,0.275,0.064583333,0.022222222
photo,3,,700,297,56,24,0.364583333,0.275,0.029166667,0.022222222
catch,0,,129,324,59,20,0.0671875,0.3,0.030729167,0.018518519
JdaiReadException,0,,216,324,188,24,0.1125,0.3,0.097916667,0.022222222
e,0,,410,324,16,17,0.213541667,0.3,0.008333333,0.015740741
JdaiGuiHelpers,0,,151,351,157,24,0.078645833,0.325,0.081770833,0.022222222
reportException,0,,308,351,168,24,0.160416667,0.325,0.0875,0.022222222
"""Unable",100,,498,351,79,20,0.259375,0.325,0.041145833,0.018518519
to,100,,583,351,26,19,0.303645833,0.325,0.013541667,0.017592593
read,100,,616,351,47,20,0.320833333,0.325,0.024479167,0.018518519
"caption""",100,,669,351,99,24,0.3484375,0.325,0.0515625,0.022222222
e,1,,777,351,16,17,0.4046875,0.325,0.008333333,0.015740741
if,1,,108,405,26,20,0.05625,0.375,0.013541667,0.018518519
text,2,,162,405,47,19,0.084375,0.375,0.024479167,0.017592593
==,0,,215,405,27,13,0.111979167,0.375,0.0140625,0.012037037
null,2,,248,405,48,20,0.129166667,0.375,0.025,0.018518519
||,0,,305,405,18,24,0.158854167,0.375,0.009375,0.022222222
text,3,,335,405,48,24,0.174479167,0.375,0.025,0.022222222
equals,0,,383,405,72,24,0.199479167,0.375,0.0375,0.022222222
"""""",1,,476,405,24,13,0.247916667,0.375,0.0125,0.012037037
text,4,,151,432,47,19,0.078645833,0.4,0.024479167,0.017592593
=,2,,205,432,16,13,0.106770833,0.4,0.008333333,0.012037037
"""No",101,,228,432,36,20,0.11875,0.4,0.01875,0.018518519
caption,101,,270,432,80,24,0.140625,0.4,0.041666667,0.022222222
"set""",101,,357,432,55,23,0.1859375,0.4,0.028645833,0.021296296
else,0,,86,459,48,20,0.044791667,0.425,0.025,0.018518519
label,1,,109,486,58,24,0.056770833,0.45,0.030208333,0.022222222
setIcon,0,,167,486,82,24,0.086979167,0.45,0.042708333,0.022222222
null,3,,270,486,48,20,0.140625,0.45,0.025,0.018518519
label,2,,66,540,57,24,0.034375,0.5,0.0296875,0.022222222
setToolTipText,0,,123,540,160,24,0.0640625,0.5,0.083333333,0.022222222
text,5,,302,540,47,19,0.157291667,0.5,0.024479167,0.017592593
setNewPhoto,0,,65,567,132,24,0.033854167,0.525,0.06875,0.022222222
photo,4,,205,567,59,24,0.106770833,0.525,0.030729167,0.022222222
