word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
protected,0,,22,135,101,24,0.011458333,0.125,0.052604167,0.022222222
void,0,,129,135,48,20,0.0671875,0.125,0.025,0.018518519
tellAgain,0,,184,135,110,24,0.095833333,0.125,0.057291667,0.022222222
final,0,,302,135,59,20,0.157291667,0.125,0.030729167,0.018518519
QName,0,,367,135,59,23,0.191145833,0.125,0.030729167,0.021296296
message,0,,431,135,81,21,0.224479167,0.125,0.0421875,0.019444444
throws,0,,540,135,69,20,0.28125,0.125,0.0359375,0.018518519
RemoteException,0,,615,135,178,24,0.3203125,0.125,0.092708333,0.022222222
final,1,,64,162,59,20,0.033333333,0.15,0.030729167,0.018518519
AbstractCoordParticipantProxy,0,,128,162,320,24,0.066666667,0.15,0.166666667,0.022222222
proxy,0,,454,162,58,21,0.236458333,0.15,0.030208333,0.019444444
=,0,,518,162,16,13,0.269791667,0.15,0.008333333,0.012037037
this,0,,108,189,49,24,0.05625,0.175,0.025520833,0.022222222
getParticipantProxy,0,,157,189,232,24,0.081770833,0.175,0.120833333,0.022222222
if,0,,64,243,27,20,0.033333333,0.225,0.0140625,0.018518519
State,0,,118,243,57,24,0.061458333,0.225,0.0296875,0.022222222
MESSAGE_CANCEL,0,,175,243,159,24,0.091145833,0.225,0.0828125,0.022222222
equals,0,,334,243,68,24,0.173958333,0.225,0.035416667,0.022222222
message,1,,431,243,81,21,0.224479167,0.225,0.0421875,0.019444444
proxy,1,,108,270,57,24,0.05625,0.25,0.0296875,0.022222222
cancelOperation,0,,165,270,171,24,0.0859375,0.25,0.0890625,0.022222222
null,0,,356,270,48,20,0.185416667,0.25,0.025,0.018518519
else if,0,else,86,324,87,20,0.044791667,0.3,0.0453125,0.018518519
State,1,,194,324,56,24,0.101041667,0.3,0.029166667,0.022222222
MESSAGE_COMPENSATE,0,,250,324,202,24,0.130208333,0.3,0.105208333,0.022222222
equals,1,,452,324,67,24,0.235416667,0.3,0.034895833,0.022222222
message,2,,550,324,81,21,0.286458333,0.3,0.0421875,0.019444444
proxy,2,,108,351,57,24,0.05625,0.325,0.0296875,0.022222222
compensateOperation,0,,165,351,215,24,0.0859375,0.325,0.111979167,0.022222222
null,1,,400,351,47,20,0.208333333,0.325,0.024479167,0.018518519
else if,1,else,86,405,87,20,0.044791667,0.375,0.0453125,0.018518519
State,2,,194,405,57,24,0.101041667,0.375,0.0296875,0.022222222
MESSAGE_CLOSE,0,,251,405,147,24,0.130729167,0.375,0.0765625,0.022222222
equals,2,,398,405,68,24,0.207291667,0.375,0.035416667,0.022222222
message,3,,496,405,81,21,0.258333333,0.375,0.0421875,0.019444444
proxy,3,,108,432,57,24,0.05625,0.4,0.0296875,0.022222222
closeOperation,0,,165,432,160,24,0.0859375,0.4,0.083333333,0.022222222
null,2,,346,432,47,20,0.180208333,0.4,0.024479167,0.018518519
else if,2,else,86,486,87,20,0.044791667,0.45,0.0453125,0.018518519
State,3,,194,486,56,24,0.101041667,0.45,0.029166667,0.022222222
MESSAGE_EXITED,0,,250,486,158,24,0.130208333,0.45,0.082291667,0.022222222
equals,3,,408,486,68,24,0.2125,0.45,0.035416667,0.022222222
message,4,,507,486,81,21,0.2640625,0.45,0.0421875,0.019444444
proxy,4,,108,513,57,24,0.05625,0.475,0.0296875,0.022222222
exitedOperation,0,,165,513,171,24,0.0859375,0.475,0.0890625,0.022222222
null,3,,356,513,48,20,0.185416667,0.475,0.025,0.018518519
else if,3,else,86,567,87,20,0.044791667,0.525,0.0453125,0.018518519
State,4,,194,567,56,24,0.101041667,0.525,0.029166667,0.022222222
MESSAGE_FAULTED,0,,250,567,169,24,0.130208333,0.525,0.088020833,0.022222222
equals,4,,419,567,68,24,0.218229167,0.525,0.035416667,0.022222222
message,5,,518,567,81,21,0.269791667,0.525,0.0421875,0.019444444
proxy,5,,108,594,57,24,0.05625,0.55,0.0296875,0.022222222
faultedOperation,0,,165,594,183,24,0.0859375,0.55,0.0953125,0.022222222
null,4,,367,594,48,20,0.191145833,0.55,0.025,0.018518519
else if,4,else,86,648,87,20,0.044791667,0.6,0.0453125,0.018518519
State,5,,194,648,56,24,0.101041667,0.6,0.029166667,0.022222222
MESSAGE_GETSTATUS,0,,250,648,192,24,0.130208333,0.6,0.1,0.022222222
equals,5,,442,648,68,24,0.230208333,0.6,0.035416667,0.022222222
message,6,,539,648,81,21,0.280729167,0.6,0.0421875,0.019444444
proxy,6,,108,675,57,24,0.05625,0.625,0.0296875,0.022222222
getStatusOperation,0,,165,675,204,24,0.0859375,0.625,0.10625,0.022222222
null,5,,389,675,48,20,0.202604167,0.625,0.025,0.018518519
else,0,,86,729,59,24,0.044791667,0.675,0.030729167,0.022222222
throw,0,,108,756,59,20,0.05625,0.7,0.030729167,0.018518519
new,0,,173,756,37,17,0.090104167,0.7,0.019270833,0.015740741
IllegalArgumentException,0,,216,756,272,24,0.1125,0.7,0.141666667,0.022222222
"""Sorry",100,,498,756,75,24,0.259375,0.7,0.0390625,0.022222222
cannot,100,,583,756,69,19,0.303645833,0.7,0.0359375,0.017592593
tell,100,,659,756,48,20,0.343229167,0.7,0.025,0.018518519
a,100,,712,756,17,17,0.370833333,0.7,0.008854167,0.015740741
participant,100,,735,756,122,24,0.3828125,0.7,0.063541667,0.022222222
"""",100,,865,756,13,13,0.450520833,0.7,0.006770833,0.012037037
+,0,,885,756,16,16,0.4609375,0.7,0.008333333,0.014814815
message,7,,907,756,80,21,0.472395833,0.7,0.041666667,0.019444444
