word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
testGetCodigo,0,,151,135,165,24,0.078645833,0.125,0.0859375,0.022222222
System,0,,64,162,69,24,0.033333333,0.15,0.0359375,0.022222222
out,0,,133,162,35,24,0.069270833,0.15,0.018229167,0.022222222
println,0,,168,162,81,24,0.0875,0.15,0.0421875,0.022222222
"""getCodigo""",0,,282,162,121,24,0.146875,0.15,0.063020833,0.022222222
Cronograma,0,,64,216,114,23,0.033333333,0.2,0.059375,0.021296296
instance,0,,183,216,92,20,0.0953125,0.2,0.047916667,0.018518519
=,0,,280,216,16,13,0.145833333,0.2,0.008333333,0.012037037
null,0,,302,216,56,23,0.157291667,0.2,0.029166667,0.021296296
String,0,,64,243,70,24,0.033333333,0.225,0.036458333,0.022222222
expResult,0,,140,243,101,24,0.072916667,0.225,0.052604167,0.022222222
=,1,,248,243,16,13,0.129166667,0.225,0.008333333,0.012037037
"""""",0,,271,243,33,23,0.141145833,0.225,0.0171875,0.021296296
String,1,,64,270,70,24,0.033333333,0.25,0.036458333,0.022222222
result,0,,141,270,68,20,0.0734375,0.25,0.035416667,0.018518519
=,2,,215,270,16,13,0.111979167,0.25,0.008333333,0.012037037
instance,1,,237,270,102,24,0.1234375,0.25,0.053125,0.022222222
getCodigo,0,,339,270,114,24,0.1765625,0.25,0.059375,0.022222222
assertEquals,0,,64,297,143,24,0.033333333,0.275,0.074479167,0.022222222
expResult,1,,216,297,109,24,0.1125,0.275,0.056770833,0.022222222
result,1,,335,297,68,20,0.174479167,0.275,0.035416667,0.018518519
//,200,,64,351,27,20,0.033333333,0.325,0.0140625,0.018518519
TODO,200,,96,351,49,19,0.05,0.325,0.025520833,0.017592593
review,200,,152,351,69,20,0.079166667,0.325,0.0359375,0.018518519
the,200,,227,351,37,20,0.118229167,0.325,0.019270833,0.018518519
generated,200,,270,351,101,24,0.140625,0.325,0.052604167,0.022222222
test,200,,378,351,47,19,0.196875,0.325,0.024479167,0.017592593
code,200,,432,351,48,20,0.225,0.325,0.025,0.018518519
and,200,,486,351,36,20,0.253125,0.325,0.01875,0.018518519
remove,200,,530,351,69,17,0.276041667,0.325,0.0359375,0.015740741
the,200,,605,351,37,20,0.315104167,0.325,0.019270833,0.018518519
default,200,,648,351,79,20,0.3375,0.325,0.041145833,0.018518519
call,200,,734,351,48,20,0.382291667,0.325,0.025,0.018518519
to,200,,789,351,26,19,0.4109375,0.325,0.013541667,0.017592593
fail.,200,fail,820,351,45,20,0.427083333,0.325,0.0234375,0.018518519
fail,0,,64,378,57,24,0.033333333,0.35,0.0296875,0.022222222
"""The",100,,130,378,47,20,0.067708333,0.35,0.024479167,0.018518519
test,100,,184,378,46,19,0.095833333,0.35,0.023958333,0.017592593
case,100,,237,378,48,17,0.1234375,0.35,0.025,0.015740741
is,100,,291,378,26,20,0.1515625,0.35,0.013541667,0.018518519
a,100,,324,378,16,17,0.16875,0.35,0.008333333,0.015740741
prototype.,100,prototype,346,378,99,24,0.180208333,0.35,0.0515625,0.022222222
"""",100,,445,378,11,24,0.231770833,0.35,0.005729167,0.022222222
