word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,96,135,48,20,0.05,0.125,0.025,0.018518519
updateSchema,0,,151,135,143,24,0.078645833,0.125,0.074479167,0.022222222
String,0,,302,135,69,24,0.157291667,0.125,0.0359375,0.022222222
kind,0,,379,135,54,23,0.197395833,0.125,0.028125,0.021296296
SchemaTO,0,,442,135,92,20,0.230208333,0.125,0.047916667,0.018518519
schemaTO,0,,540,135,91,20,0.28125,0.125,0.047395833,0.018518519
try,0,,65,162,37,23,0.033854167,0.15,0.019270833,0.021296296
restTemplate,0,,109,189,135,24,0.056770833,0.175,0.0703125,0.022222222
postForObject,0,,244,189,146,24,0.127083333,0.175,0.076041667,0.022222222
baseURL,0,,410,189,81,20,0.213541667,0.175,0.0421875,0.018518519
+,0,,496,189,16,16,0.258333333,0.175,0.008333333,0.014814815
"""schema/""",0,,519,189,100,20,0.2703125,0.175,0.052083333,0.018518519
+,1,,626,189,16,16,0.326041667,0.175,0.008333333,0.014814815
kind,1,,649,189,46,20,0.338020833,0.175,0.023958333,0.018518519
+,2,,701,189,16,16,0.365104167,0.175,0.008333333,0.014814815
"""/update""",0,,724,189,108,24,0.377083333,0.175,0.05625,0.022222222
schemaTO,1,,843,189,97,23,0.4390625,0.175,0.050520833,0.021296296
SchemaTO,1,,950,189,89,20,0.494791667,0.175,0.046354167,0.018518519
class,0,,1039,189,56,20,0.541145833,0.175,0.029166667,0.018518519
catch,0,,86,216,58,20,0.044791667,0.2,0.030208333,0.018518519
SyncopeClientCompositeErrorException,0,,172,216,394,24,0.089583333,0.2,0.205208333,0.022222222
e,0,,572,216,16,17,0.297916667,0.2,0.008333333,0.015740741
LOG,0,,109,243,36,24,0.056770833,0.225,0.01875,0.022222222
error,0,,145,243,61,24,0.075520833,0.225,0.031770833,0.022222222
"""While",100,,228,243,68,20,0.11875,0.225,0.035416667,0.018518519
updating,100,,302,243,91,24,0.157291667,0.225,0.047395833,0.022222222
a,100,,399,243,16,17,0.2078125,0.225,0.008333333,0.015740741
user,100,,421,243,47,17,0.219270833,0.225,0.024479167,0.015740741
"schema""",100,,476,243,86,23,0.247916667,0.225,0.044791667,0.021296296
e,1,,572,243,16,17,0.297916667,0.225,0.008333333,0.015740741
