word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
boolean,0,"['function', 'type', 'name']"
equals,0,"['function', 'name']"
Object,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
obj,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
if,0,"['function', 'block', 'block_content', 'if_stmt', 'if']"
obj,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
==,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
null,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']"
||,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
obj,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
getClass,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
!=,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
getClass,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name']"
return,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']"
false,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']"
CSSConditionalSelectorImpl,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
s,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
CSSConditionalSelectorImpl,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
obj,3,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
return,1,"['function', 'block', 'block_content', 'return']"
s,1,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
simpleSelector,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
equals,1,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
simpleSelector,1,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
&&,0,"['function', 'block', 'block_content', 'return', 'expr', 'operator']"
s,2,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
condition,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
equals,2,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
condition,1,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
