word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
void,0,"['function', 'type', 'name']"
setPhoto,0,"['function', 'name']"
JdaiPhoto,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
photo,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
String,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
text,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
null,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']"
if,0,"['function', 'block', 'block_content', 'if_stmt', 'if']"
photo,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
!=,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
null,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']"
label,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
setText,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
"""""",0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
try,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try']"
text,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
photo,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
getSection,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
