word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
void,0,"['function', 'type', 'name']"
testOccThm,0,"['function', 'name']"
throws,0,"['function', 'throws']"
Exception,0,"['function', 'throws', 'argument', 'expr', 'name']"
final,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'specifier']"
IContextRoot,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
context,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
ResourceUtils,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
createContext,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
rodinProject,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
CTX_BARE_NAME,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
CST_1DECL_1REF_THM,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
final,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'specifier']"
IConstant,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
cst1,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
context,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
getConstant,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
INTERNAL_ELEMENT1,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
final,2,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'specifier']"
IDeclaration,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
declCst1,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
