word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
boolean,0,"['function', 'type', 'name']"
checkDescendantM,0,"['function', 'name']"
Member,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
aMember,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
Member,1,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
dMember,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
mondrian,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'name']"
olap,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'name']"
Member,2,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'name']"
monMember,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
MondrianMember,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
aMember,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
getMonMember,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']"
mondrian,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'name']"
olap,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'name']"
Member,3,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'name']"
monDesc,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
MondrianMember,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
dMember,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
getMonMember,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']"
if,0,"['function', 'block', 'block_content', 'if_stmt', 'if']"
monDesc,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
isCalculatedInQuery,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
||,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
monDesc,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
equals,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
monMember,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
return,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']"
FALSE,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']"
return,1,"['function', 'block', 'block_content', 'return']"
monDesc,3,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
isChildOrEqualTo,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
monMember,2,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
