word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
long,0,"['function', 'type', 'name']"
createChecklistItem,0,"['function', 'name']"
long,1,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
listId,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
String,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
item,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
boolean,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
isDone,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
ContentValues,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
values,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
new,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
ContentValues,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']"
values,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
put,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
KEY_LIST_ID,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
listId,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
values,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
put,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
KEY_IS_DONE,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
isDone,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
values,3,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
put,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
KEY_ITEM,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
item,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
return,0,"['function', 'block', 'block_content', 'return']"
mDb,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
insert,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
CHECKLIST_ITEM_TBL,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
null,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
values,4,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
