word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
Command,0,"['function', 'type', 'name']"
getOkCommand18,0,"['function', 'name']"
if,0,"['function', 'block', 'block_content', 'if_stmt', 'if']"
okCommand18,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
==,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
null,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']"
//GEN-END: | 728-getter | 0 | 728-preInit,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']"
// write pre-init user code here,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']"
okCommand18,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
new,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
Command,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
"""LIQUIDEZ""",0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
Command,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
OK,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
0,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
//GEN-LINE: | 728-getter | 1 | 728-postInit,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']"
// write post-init user code here,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']"
//GEN-BEGIN: | 728-getter | 2 |,0,"['function', 'block', 'block_content', 'comment']"
return,0,"['function', 'block', 'block_content', 'return']"
okCommand18,2,"['function', 'block', 'block_content', 'return', 'expr', 'name']"
