word,occurrence,tree_parts
private,0,"['function', 'type', 'specifier']"
List,0,"['function', 'type', 'name']"
getStatusFlagFields,0,"['function', 'name']"
List,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
list,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
new,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
ArrayList,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']"
String,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
statusFlagPath,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
"""/collectionConfigRecord/statusFlags/statusFlag/status""",0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']"
for,0,"['function', 'block', 'block_content', 'for']"
Iterator,0,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'type', 'name']"
i,0,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'name']"
=,2,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'init']"
im,0,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'init', 'expr', 'call', 'name', 'name']"
getInputFields,0,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'init', 'expr', 'call', 'name', 'name']"
iterator,0,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'init', 'expr', 'call', 'name']"
i,1,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'call', 'name', 'name']"
hasNext,0,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'call', 'name', 'name']"
InputField,0,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
field,0,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,3,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
InputField,1,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
i,2,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
next,0,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
// prtln ( field.toString() );,0,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'comment']"
if,0,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if']"
field,1,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
getNormalizedXPath,0,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
startsWith,0,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name']"
statusFlagPath,1,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
list,1,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
add,0,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
field,2,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
return,0,"['function', 'block', 'block_content', 'return']"
list,2,"['function', 'block', 'block_content', 'return', 'expr', 'name']"
