word,occurrence,tree_parts
private,0,"['function', 'type', 'specifier']"
void,0,"['function', 'type', 'name']"
leaveAll,0,"['function', 'name']"
MouseEvent,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'name']"
<,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'argument_list']"
?,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'argument_list', 'argument', 'name']"
extends,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'argument_list', 'argument', 'extends']"
EventHandler,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'argument_list', 'argument', 'extends', 'name']"
>,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'argument_list']"
event,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
LocInfo,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
locInfo,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
new,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
LocInfo,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']"
assert,0,"['function', 'block', 'block_content', 'assert']"
!,0,"['function', 'block', 'block_content', 'assert', 'expr', 'operator']"
locInfo,1,"['function', 'block', 'block_content', 'assert', 'expr', 'call', 'name', 'name']"
isVertexLocValid,0,"['function', 'block', 'block_content', 'assert', 'expr', 'call', 'name', 'name']"
assert,1,"['function', 'block', 'block_content', 'assert']"
!,1,"['function', 'block', 'block_content', 'assert', 'expr', 'operator']"
locInfo,2,"['function', 'block', 'block_content', 'assert', 'expr', 'call', 'name', 'name']"
isVerticalEdgeLocValid,0,"['function', 'block', 'block_content', 'assert', 'expr', 'call', 'name', 'name']"
assert,2,"['function', 'block', 'block_content', 'assert']"
!,2,"['function', 'block', 'block_content', 'assert', 'expr', 'operator']"
locInfo,3,"['function', 'block', 'block_content', 'assert', 'expr', 'call', 'name', 'name']"
isHorizontalEdgeLocValid,0,"['function', 'block', 'block_content', 'assert', 'expr', 'call', 'name', 'name']"
assert,3,"['function', 'block', 'block_content', 'assert']"
!,3,"['function', 'block', 'block_content', 'assert', 'expr', 'operator']"
locInfo,4,"['function', 'block', 'block_content', 'assert', 'expr', 'call', 'name', 'name']"
isCellLocValid,0,"['function', 'block', 'block_content', 'assert', 'expr', 'call', 'name', 'name']"
handleLeaveEvents,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
locInfo,5,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
event,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
lastLocInfo,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
copy,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
locInfo,6,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
