word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
void,0,,"['function', 'type', 'name']",96,135,48,20,0.05,0.125,0.025,0.018518519
addErrors,0,,"['function', 'name']",151,135,110,24,0.078645833,0.125,0.057291667,0.022222222
String,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",269,135,70,24,0.140104167,0.125,0.036458333,0.022222222
el,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",345,135,34,23,0.1796875,0.125,0.017708333,0.021296296
IErrorDescription,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",389,135,196,24,0.202604167,0.125,0.102083333,0.022222222
error,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",615,135,59,17,0.3203125,0.125,0.030729167,0.015740741
final,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'specifier']",64,155,59,20,0.033333333,0.143518519,0.030729167,0.018518519
IErrorDescription,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'name']",130,155,207,24,0.067708333,0.143518519,0.1078125,0.022222222
msg,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",345,155,37,21,0.1796875,0.143518519,0.019270833,0.019444444
=,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",388,155,16,13,0.202083333,0.143518519,0.008333333,0.012037037
errors,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']",410,155,73,24,0.213541667,0.143518519,0.038020833,0.022222222
get,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']",483,155,37,24,0.2515625,0.143518519,0.019270833,0.022222222
el,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",540,155,26,20,0.28125,0.143518519,0.013541667,0.018518519
// we expect that the main scenario is to add only once errors per property,200,//,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",64,189,27,20,0.033333333,0.175,0.0140625,0.018518519
// we expect that the main scenario is to add only once errors per property,200,we,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",96,189,27,17,0.05,0.175,0.0140625,0.015740741
// we expect that the main scenario is to add only once errors per property,200,expect,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",129,189,69,23,0.0671875,0.175,0.0359375,0.021296296
// we expect that the main scenario is to add only once errors per property,200,that,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",205,189,47,20,0.106770833,0.175,0.024479167,0.018518519
// we expect that the main scenario is to add only once errors per property,200,the,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",259,189,37,20,0.134895833,0.175,0.019270833,0.018518519
// we expect that the main scenario is to add only once errors per property,200,main,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",302,189,48,20,0.157291667,0.175,0.025,0.018518519
// we expect that the main scenario is to add only once errors per property,200,scenario,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",357,189,90,20,0.1859375,0.175,0.046875,0.018518519
// we expect that the main scenario is to add only once errors per property,200,is,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",453,189,26,20,0.2359375,0.175,0.013541667,0.018518519
// we expect that the main scenario is to add only once errors per property,200,to,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",486,189,26,19,0.253125,0.175,0.013541667,0.017592593
// we expect that the main scenario is to add only once errors per property,200,add,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",518,189,37,20,0.269791667,0.175,0.019270833,0.018518519
// we expect that the main scenario is to add only once errors per property,200,only,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",561,189,49,24,0.2921875,0.175,0.025520833,0.022222222
// we expect that the main scenario is to add only once errors per property,200,once,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",615,189,48,17,0.3203125,0.175,0.025,0.015740741
// we expect that the main scenario is to add only once errors per property,200,errors,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",669,189,70,17,0.3484375,0.175,0.036458333,0.015740741
// we expect that the main scenario is to add only once errors per property,200,per,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",745,189,37,21,0.388020833,0.175,0.019270833,0.019444444
// we expect that the main scenario is to add only once errors per property,200,property,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'comment']",789,189,71,23,0.4109375,0.175,0.036979167,0.021296296
errors,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,209,73,24,0.033333333,0.193518519,0.038020833,0.022222222
put,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",137,209,37,24,0.071354167,0.193518519,0.019270833,0.022222222
el,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",194,209,34,23,0.101041667,0.193518519,0.017708333,0.021296296
msg,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'condition', 'expr', 'name']",237,209,37,21,0.1234375,0.193518519,0.019270833,0.019444444
==,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'condition', 'expr', 'operator']",280,209,27,13,0.145833333,0.193518519,0.0140625,0.012037037
,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'condition', 'expr', 'literal']",313,209,48,20,0.163020833,0.193518519,0.025,0.018518519
?,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'condition']",367,209,15,19,0.191145833,0.193518519,0.0078125,0.017592593
error,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'then', 'expr', 'name']",388,209,59,17,0.202083333,0.193518519,0.030729167,0.015740741
:,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else']",456,209,10,17,0.2375,0.193518519,0.005208333,0.015740741
merge,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else', 'expr', 'call', 'name']",475,209,67,24,0.247395833,0.193518519,0.034895833,0.022222222
msg,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",550,209,45,21,0.286458333,0.193518519,0.0234375,0.019444444
error,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",604,209,59,17,0.314583333,0.193518519,0.030729167,0.015740741
