word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
Map,0,,"['function', 'type', 'name']",97,135,37,23,0.050520833,0.125,0.019270833,0.021296296
asMap,0,,"['function', 'name']",140,135,79,24,0.072916667,0.125,0.041145833,0.022222222
Map,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",64,162,37,23,0.033333333,0.15,0.019270833,0.021296296
map,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",107,162,38,21,0.055729167,0.15,0.019791667,0.019444444
=,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",151,162,16,13,0.078645833,0.15,0.008333333,0.012037037
new,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']",173,162,37,17,0.090104167,0.15,0.019270833,0.015740741
HashMap,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']",216,162,110,24,0.1125,0.15,0.057291667,0.022222222
"// map put ""org_id"" org_id",200,//,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'comment']",64,189,27,20,0.033333333,0.175,0.0140625,0.018518519
"// map put ""org_id"" org_id",200,map,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'comment']",96,189,34,23,0.05,0.175,0.017708333,0.021296296
"// map put ""org_id"" org_id",200,put,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'comment']",130,189,34,23,0.067708333,0.175,0.017708333,0.021296296
"// map put ""org_id"" org_id",200,"""org_id""","['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'comment']",206,189,97,24,0.107291667,0.175,0.050520833,0.022222222
"// map put ""org_id"" org_id",200,org_id,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'comment']",313,189,69,24,0.163020833,0.175,0.0359375,0.022222222
map,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,216,38,24,0.033333333,0.2,0.019791667,0.022222222
put,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",102,216,38,24,0.053125,0.2,0.019791667,0.022222222
"""startDate""",0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",163,216,129,23,0.084895833,0.2,0.0671875,0.021296296
start_date,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",303,216,112,22,0.1578125,0.2,0.058333333,0.02037037
map,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,243,38,24,0.033333333,0.225,0.019791667,0.022222222
put,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",102,243,38,24,0.053125,0.225,0.019791667,0.022222222
"""endDate""",0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",163,243,108,23,0.084895833,0.225,0.05625,0.021296296
end_date,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",280,243,92,22,0.145833333,0.225,0.047916667,0.02037037
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,297,27,20,0.033333333,0.275,0.0140625,0.018518519
this,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name', 'name']",119,297,44,24,0.061979167,0.275,0.022916667,0.022222222
organization,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name', 'name']",163,297,132,24,0.084895833,0.275,0.06875,0.022222222
!=,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",316,297,23,19,0.164583333,0.275,0.011979167,0.017592593
,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",346,297,47,20,0.180208333,0.275,0.024479167,0.018518519
map,3,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",107,324,39,24,0.055729167,0.3,0.0203125,0.022222222
put,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",146,324,39,24,0.076041667,0.3,0.0203125,0.022222222
"""organization""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",206,324,162,24,0.107291667,0.3,0.084375,0.022222222
this,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",378,324,44,24,0.196875,0.3,0.022916667,0.022222222
organization,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",422,324,132,24,0.219791667,0.3,0.06875,0.022222222
acronym,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",554,324,77,24,0.288541667,0.3,0.040104167,0.022222222
map,4,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",64,351,38,24,0.033333333,0.325,0.019791667,0.022222222
put,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",102,351,38,24,0.053125,0.325,0.019791667,0.022222222
"""type""",0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",163,351,75,24,0.084895833,0.325,0.0390625,0.022222222
this,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'condition', 'expr', 'call', 'name', 'name']",270,351,50,24,0.140625,0.325,0.026041667,0.022222222
isVisitor,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'condition', 'expr', 'call', 'name', 'name']",320,351,112,24,0.166666667,0.325,0.058333333,0.022222222
?,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'condition']",453,351,16,19,0.2359375,0.325,0.008333333,0.017592593
"""Visitor""",0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'then', 'expr', 'literal']",476,351,99,20,0.247916667,0.325,0.0515625,0.018518519
:,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else']",586,351,9,17,0.305208333,0.325,0.0046875,0.015740741
"""Employee""",0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else', 'expr', 'literal']",606,351,110,24,0.315625,0.325,0.057291667,0.022222222
// return new JSONObject map,201,//,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else', 'expr', 'comment']",64,378,27,20,0.033333333,0.35,0.0140625,0.018518519
// return new JSONObject map,201,return,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else', 'expr', 'comment']",98,378,68,19,0.051041667,0.35,0.035416667,0.017592593
// return new JSONObject map,201,new,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else', 'expr', 'comment']",173,378,37,17,0.090104167,0.35,0.019270833,0.015740741
// return new JSONObject map,201,JSONObject,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else', 'expr', 'comment']",216,378,121,24,0.1125,0.35,0.063020833,0.022222222
// return new JSONObject map,201,map,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'ternary', 'else', 'expr', 'comment']",345,378,37,21,0.1796875,0.35,0.019270833,0.019444444
return,0,,"['function', 'block', 'block_content', 'return']",65,406,69,19,0.033854167,0.375925926,0.0359375,0.017592593
map,5,,"['function', 'block', 'block_content', 'return', 'expr', 'name']",140,406,45,21,0.072916667,0.375925926,0.0234375,0.019444444
