word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
Object,0,,"['function', 'type', 'name']",96,135,69,24,0.05,0.125,0.0359375,0.022222222
clone,0,,"['function', 'name']",172,135,79,24,0.089583333,0.125,0.041145833,0.022222222
Format,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",65,162,68,19,0.033854167,0.15,0.035416667,0.017592593
result,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",141,162,68,20,0.0734375,0.15,0.035416667,0.018518519
=,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",215,162,16,13,0.111979167,0.15,0.008333333,0.012037037
new,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']",238,162,37,17,0.123958333,0.15,0.019270833,0.015740741
Format,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']",281,162,99,24,0.146354167,0.15,0.0515625,0.022222222
result,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name', 'name']",65,216,166,24,0.033854167,0.2,0.086458333,0.022222222
datatype,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name', 'name']",65,216,166,24,0.033854167,0.2,0.086458333,0.022222222
=,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']",237,216,16,13,0.1234375,0.2,0.008333333,0.012037037
datatype,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name']",259,216,99,24,0.134895833,0.2,0.0515625,0.022222222
result,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name', 'name']",65,243,188,24,0.033854167,0.225,0.097916667,0.022222222
datatypeID,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name', 'name']",65,243,188,24,0.033854167,0.225,0.097916667,0.022222222
=,2,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']",259,243,16,13,0.134895833,0.225,0.008333333,0.012037037
datatypeID,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name']",280,243,121,24,0.145833333,0.225,0.063020833,0.022222222
result,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name', 'name']",65,270,66,24,0.033854167,0.25,0.034375,0.022222222
respectCase,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name', 'name']",131,270,122,24,0.068229167,0.25,0.063541667,0.022222222
=,3,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']",269,270,16,13,0.140104167,0.25,0.008333333,0.012037037
respectCase,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name']",292,270,131,23,0.152083333,0.25,0.068229167,0.021296296
result,4,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name', 'name']",65,297,112,24,0.033854167,0.275,0.058333333,0.022222222
