word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,"['function', 'type', 'specifier']",22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
void,0,,"['function', 'type', 'name']",107,135,48,20,0.055729167,0.125,0.025,0.018518519
configBalanceRanking,0,,"['function', 'name']",162,135,229,24,0.084375,0.125,0.119270833,0.022222222
List,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'name']",400,135,58,20,0.208333333,0.125,0.030208333,0.018518519
IResponseTO,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'argument_list', 'argument', 'name']",464,135,124,23,0.241666667,0.125,0.064583333,0.021296296
>,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'argument_list']",594,135,15,16,0.309375,0.125,0.0078125,0.014814815
responses,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",616,135,108,21,0.320833333,0.125,0.05625,0.019444444
String,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",734,135,69,24,0.382291667,0.125,0.0359375,0.022222222
filePath,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",810,135,91,20,0.421875,0.125,0.047395833,0.018518519
{	,0,,[],929,135,15,24,0.483854167,0.125,0.0078125,0.022222222
PeerDAOFactory,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",65,162,109,24,0.033854167,0.15,0.056770833,0.022222222
getInstance,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",174,162,101,24,0.090625,0.15,0.052604167,0.022222222
getAccountingDAO,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']",275,162,140,24,0.143229167,0.15,0.072916667,0.022222222
loadBalancesRanking,0,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']",415,162,147,24,0.216145833,0.15,0.0765625,0.022222222
filePath,1,,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",810,162,91,20,0.421875,0.15,0.047395833,0.018518519
long,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",66,189,46,24,0.034375,0.175,0.023958333,0.022222222
frequence,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",118,189,103,24,0.061458333,0.175,0.053645833,0.022222222
=,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",226,189,16,13,0.117708333,0.175,0.008333333,0.012037037
AccountingConstants,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name', 'name']",247,189,212,24,0.128645833,0.175,0.110416667,0.022222222
RANKING_SAVING_FREQ,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name', 'name']",459,189,212,24,0.2390625,0.175,0.110416667,0.022222222
ScheduleActionWithFixedDelayResponseTO,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",64,243,416,24,0.033333333,0.225,0.216666667,0.022222222
to,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",486,243,26,19,0.253125,0.225,0.013541667,0.017592593
=,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",518,243,16,13,0.269791667,0.225,0.008333333,0.012037037
