word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
StatusEffect,0,,"['function', 'type', 'name']",96,135,134,20,0.05,0.125,0.069791667,0.018518519
getEffect,0,,"['function', 'name']",237,135,111,24,0.1234375,0.125,0.0578125,0.022222222
int,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",356,135,36,20,0.185416667,0.125,0.01875,0.018518519
lock,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",400,135,47,20,0.208333333,0.125,0.024479167,0.018518519
synchronized,0,,"['function', 'block', 'block_content', 'synchronized']",65,162,133,24,0.033854167,0.15,0.069270833,0.022222222
m_statuses,0,,"['function', 'block', 'block_content', 'synchronized', 'init', 'expr', 'name']",226,162,113,21,0.117708333,0.15,0.058854167,0.019444444
Iterator,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",108,189,90,19,0.05625,0.175,0.046875,0.017592593
i,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",205,189,16,20,0.106770833,0.175,0.008333333,0.018518519
=,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",226,189,16,13,0.117708333,0.175,0.008333333,0.012037037
m_statuses,1,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']",248,189,126,24,0.129166667,0.175,0.065625,0.022222222
iterator,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']",374,189,101,24,0.194791667,0.175,0.052604167,0.022222222
while,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while']",107,243,60,20,0.055729167,0.225,0.03125,0.018518519
i,1,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'condition', 'expr', 'call', 'name', 'name']",194,243,14,24,0.101041667,0.225,0.007291667,0.022222222
hasNext,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'condition', 'expr', 'call', 'name', 'name']",208,243,95,24,0.108333333,0.225,0.049479167,0.022222222
StatusEffect,1,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",151,270,133,20,0.078645833,0.25,0.069270833,0.018518519
eff,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",291,270,38,20,0.1515625,0.25,0.019791667,0.018518519
=,1,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",334,270,16,13,0.173958333,0.25,0.008333333,0.012037037
StatusEffect,2,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']",377,270,134,20,0.196354167,0.25,0.069791667,0.018518519
i,2,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']",520,270,31,24,0.270833333,0.25,0.016145833,0.022222222
next,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']",551,270,62,24,0.286979167,0.25,0.032291667,0.022222222
if,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if']",151,324,26,20,0.078645833,0.3,0.013541667,0.018518519
eff,1,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",216,324,37,20,0.1125,0.3,0.019270833,0.018518519
==,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",259,324,26,13,0.134895833,0.3,0.013541667,0.012037037
,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",292,324,47,20,0.152083333,0.3,0.024479167,0.018518519
||,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",370,324,18,24,0.192708333,0.3,0.009375,0.022222222
eff,2,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",402,324,50,24,0.209375,0.3,0.026041667,0.022222222
isActive,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",452,324,100,24,0.235416667,0.3,0.052083333,0.022222222
continue;,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'continue']",194,351,99,23,0.101041667,0.325,0.0515625,0.021296296
if,1,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if']",151,405,26,20,0.078645833,0.375,0.013541667,0.018518519
eff,3,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",205,405,39,24,0.106770833,0.375,0.0203125,0.022222222
getLock,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",244,405,91,24,0.127083333,0.375,0.047395833,0.022222222
==,1,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",356,405,27,13,0.185416667,0.375,0.0140625,0.012037037
lock,1,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",390,405,46,20,0.203125,0.375,0.023958333,0.018518519
return,0,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",195,432,68,19,0.1015625,0.4,0.035416667,0.017592593
eff,4,,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'while', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'name']",270,432,45,23,0.140625,0.4,0.0234375,0.021296296
return,1,,"['function', 'block', 'block_content', 'return']",65,540,69,19,0.033854167,0.5,0.0359375,0.017592593
,1,,"['function', 'block', 'block_content', 'return', 'expr', 'literal']",140,540,56,23,0.072916667,0.5,0.029166667,0.021296296
