word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,"['function', 'type', 'specifier']",22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
JSplitPane,0,,"['function', 'type', 'name']",108,135,113,24,0.05625,0.125,0.058854167,0.022222222
getJSplitPane,0,,"['function', 'name']",226,135,165,24,0.117708333,0.125,0.0859375,0.022222222
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
jSplitPane,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",118,162,113,24,0.061458333,0.15,0.058854167,0.022222222
==,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,162,27,13,0.1234375,0.15,0.0140625,0.012037037
,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,162,48,20,0.140625,0.15,0.025,0.018518519
jSplitPane,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'name']",108,189,113,24,0.05625,0.175,0.058854167,0.022222222
=,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']",226,189,16,13,0.117708333,0.175,0.008333333,0.012037037
new,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']",248,189,38,17,0.129166667,0.175,0.019791667,0.015740741
JSplitPane,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']",292,189,142,24,0.152083333,0.175,0.073958333,0.022222222
DevicesTreePanel,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",108,243,177,20,0.05625,0.225,0.0921875,0.018518519
p,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",292,243,15,21,0.152083333,0.225,0.0078125,0.019444444
=,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",313,243,16,13,0.163020833,0.225,0.008333333,0.012037037
new,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']",335,243,37,17,0.174479167,0.225,0.019270833,0.015740741
DevicesTreePanel,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']",378,243,207,24,0.196875,0.225,0.1078125,0.022222222
p,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,270,11,24,0.05625,0.25,0.005729167,0.022222222
addSelectionChangeListener,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",119,270,292,24,0.061979167,0.25,0.152083333,0.022222222
this,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",432,270,47,20,0.225,0.25,0.024479167,0.018518519
jSplitPane,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,297,113,24,0.05625,0.275,0.058854167,0.022222222
setLeftComponent,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",221,297,181,24,0.115104167,0.275,0.094270833,0.022222222
p,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",421,297,15,21,0.219270833,0.275,0.0078125,0.019444444
jSplitPane,3,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,324,112,24,0.05625,0.3,0.058333333,0.022222222
