word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,"['function', 'type', 'specifier']",22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
JMenu,0,,"['function', 'type', 'name']",108,135,58,19,0.05625,0.125,0.030208333,0.017592593
getMenuAdministracion,0,,"['function', 'name']",172,135,252,24,0.089583333,0.125,0.13125,0.022222222
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
menuAdministracion,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",118,162,199,20,0.061458333,0.15,0.103645833,0.018518519
==,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",323,162,27,13,0.168229167,0.15,0.0140625,0.012037037
,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",356,162,48,20,0.185416667,0.15,0.025,0.018518519
menuAdministracion,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'name']",107,189,199,20,0.055729167,0.175,0.103645833,0.018518519
=,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']",313,189,16,13,0.163020833,0.175,0.008333333,0.012037037
new,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']",335,189,37,17,0.174479167,0.175,0.019270833,0.015740741
JMenu,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']",378,189,88,24,0.196875,0.175,0.045833333,0.022222222
menuAdministracion,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",107,216,204,24,0.055729167,0.2,0.10625,0.022222222
setText,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",311,216,79,24,0.161979167,0.2,0.041145833,0.022222222
Messages,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']",410,216,92,24,0.213541667,0.2,0.047916667,0.022222222
getString,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']",502,216,104,24,0.261458333,0.2,0.054166667,0.022222222
"""gui.GUI.57""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",627,216,132,24,0.3265625,0.2,0.06875,0.022222222
//$NON-NLS-1$,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",810,216,146,21,0.421875,0.2,0.076041667,0.019444444
menuAdministracion,3,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",107,243,204,24,0.055729167,0.225,0.10625,0.022222222
setIcon,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",311,243,79,24,0.161979167,0.225,0.041145833,0.022222222
new,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']",410,243,38,17,0.213541667,0.225,0.019791667,0.015740741
ImageIcon,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name']",454,243,110,24,0.236458333,0.225,0.057291667,0.022222222
"""data/icons/package_system.png""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",573,243,337,24,0.2984375,0.225,0.175520833,0.022222222
//$NON-NLS-1$,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",961,243,146,21,0.500520833,0.225,0.076041667,0.019444444
menuAdministracion,4,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",107,270,206,24,0.055729167,0.25,0.107291667,0.022222222
add,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",313,270,34,24,0.163020833,0.25,0.017708333,0.022222222
getMenuItemAdminUsuarios,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name']",367,270,284,24,0.191145833,0.25,0.147916667,0.022222222
menuAdministracion,5,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",107,297,206,24,0.055729167,0.275,0.107291667,0.022222222
add,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",313,297,34,24,0.163020833,0.275,0.017708333,0.022222222
getMenuItemAdminResorces,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name']",367,297,284,24,0.191145833,0.275,0.147916667,0.022222222
return,0,,"['function', 'block', 'block_content', 'return']",65,351,69,19,0.033854167,0.325,0.0359375,0.017592593
menuAdministracion,6,,"['function', 'block', 'block_content', 'return', 'expr', 'name']",140,351,207,23,0.072916667,0.325,0.1078125,0.021296296
