word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
Command,0,,"['function', 'type', 'name']",96,135,81,20,0.05,0.125,0.0421875,0.018518519
getOkCommand18,0,,"['function', 'name']",183,135,176,24,0.0953125,0.125,0.091666667,0.022222222
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
okCommand18,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",118,162,124,20,0.061458333,0.15,0.064583333,0.018518519
==,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",248,162,27,13,0.129166667,0.15,0.0140625,0.012037037
,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",281,162,48,20,0.146354167,0.15,0.025,0.018518519
//GEN-END: | 728-getter | 0 | 728-preInit,200,//GEN-END:,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",357,162,120,24,0.1859375,0.15,0.0625,0.022222222
//GEN-END: | 728-getter | 0 | 728-preInit,200,|,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",489,162,9,24,0.2546875,0.15,0.0046875,0.022222222
//GEN-END: | 728-getter | 0 | 728-preInit,200,728-getter,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",507,162,113,23,0.2640625,0.15,0.058854167,0.021296296
//GEN-END: | 728-getter | 0 | 728-preInit,200,|,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",630,162,8,24,0.328125,0.15,0.004166667,0.022222222
//GEN-END: | 728-getter | 0 | 728-preInit,200,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",648,162,15,19,0.3375,0.15,0.0078125,0.017592593
//GEN-END: | 728-getter | 0 | 728-preInit,200,|,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",673,162,8,24,0.350520833,0.15,0.004166667,0.022222222
//GEN-END: | 728-getter | 0 | 728-preInit,200,728-preInit,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",691,162,123,24,0.359895833,0.15,0.0640625,0.022222222
// write pre-init user code here,201,//,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",108,189,26,20,0.05625,0.175,0.013541667,0.018518519
// write pre-init user code here,201,write,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",139,189,60,20,0.072395833,0.175,0.03125,0.018518519
// write pre-init user code here,201,pre-init,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",205,189,90,24,0.106770833,0.175,0.046875,0.022222222
// write pre-init user code here,201,user,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",302,189,48,17,0.157291667,0.175,0.025,0.015740741
// write pre-init user code here,201,code,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'comment']",356,189,48,20,0.185416667,0.175,0.025,0.018518519
