word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
Cursor,0,,"['function', 'type', 'name']",96,135,70,19,0.05,0.125,0.036458333,0.017592593
openCursor,0,,"['function', 'name']",172,135,122,24,0.089583333,0.125,0.063541667,0.022222222
Context,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",302,135,80,19,0.157291667,0.125,0.041666667,0.017592593
context,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",388,135,88,22,0.202083333,0.125,0.045833333,0.02037037
String,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",485,135,70,24,0.252604167,0.125,0.036458333,0.022222222
selection,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",562,135,108,23,0.292708333,0.125,0.05625,0.021296296
String,1,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'name']",680,135,89,24,0.354166667,0.125,0.046354167,0.022222222
selectionArgs,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",778,135,144,24,0.405208333,0.125,0.075,0.022222222
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,162,35,24,0.033333333,0.15,0.018229167,0.022222222
mSourcesUri,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",107,162,125,20,0.055729167,0.15,0.065104167,0.018518519
==,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,162,27,13,0.1234375,0.15,0.0140625,0.012037037
,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,162,48,20,0.140625,0.15,0.025,0.018518519
throw,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw']",108,189,59,20,0.05625,0.175,0.030729167,0.018518519
new,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'operator']",173,189,37,17,0.090104167,0.175,0.019270833,0.015740741
NullPointerException,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'name']",216,189,229,24,0.1125,0.175,0.119270833,0.022222222
"""Sources uri not set. """,100,"""Sources","['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'literal']",454,189,90,20,0.236458333,0.175,0.046875,0.018518519
"""Sources uri not set. """,100,uri,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'literal']",551,189,37,20,0.286979167,0.175,0.019270833,0.018518519
"""Sources uri not set. """,100,not,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'literal']",594,189,36,19,0.309375,0.175,0.01875,0.017592593
"""Sources uri not set. """,100,set.,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'literal']",638,189,34,20,0.332291667,0.175,0.017708333,0.018518519
"""Sources uri not set. """,100,"""","['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'literal']",672,189,11,20,0.35,0.175,0.005729167,0.018518519
return,0,,"['function', 'block', 'block_content', 'return']",65,243,69,19,0.033854167,0.225,0.0359375,0.017592593
context,1,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']",140,243,63,24,0.072916667,0.225,0.0328125,0.022222222
getContentResolver,0,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']",203,243,179,24,0.105729167,0.225,0.093229167,0.022222222
query,0,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name']",446,243,62,24,0.232291667,0.225,0.032291667,0.022222222
mSourcesUri,1,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",529,243,131,23,0.275520833,0.225,0.068229167,0.021296296
mProjection,0,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",669,243,131,24,0.3484375,0.225,0.068229167,0.022222222
selection,1,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",810,243,109,23,0.421875,0.225,0.056770833,0.021296296
selectionArgs,1,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",929,243,152,24,0.483854167,0.225,0.079166667,0.022222222
Sources,0,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",21,270,77,20,0.0109375,0.25,0.040104167,0.018518519
SourcesTable,0,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",98,270,132,20,0.051041667,0.25,0.06875,0.018518519
NAME,0,,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",230,270,44,20,0.119791667,0.25,0.022916667,0.018518519
