,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,BFSdist,141,35,89,24
3,Node,238,35,48,20
9,n,292,35,23,20
7,Vector,323,35,71,19
8,"ToDo,",399,35,56,22
4,int[],465,35,56,24
5,indirconn,530,35,101,20
6,){,640,35,24,24
10,Node,55,62,47,20
12,nz,109,62,26,19
13,=,141,62,16,13
11,null;,163,62,55,23
14,for,54,89,37,20
15,unknown_0,99,89,12,24
16,Enumeration,119,89,123,20
22,es,249,89,26,17
24,=,281,89,16,13
17,"n,adjEdges.elements()",303,89,230,24
23,',542,89,11,20
18,es.E,562,89,229,24
19,hasMoreElements();,562,89,229,24
20,unknown_1,802,89,11,24
21,unknown_2,822,89,15,24
29,nz,98,116,26,19
30,=,130,116,16,13
25,n.adjNode,152,116,121,24
26,Edge,281,116,48,24
27,)es,337,116,205,24
28,nextElement());,337,116,205,24
31,if,98,143,26,20
32,unknown_3,132,143,11,24
33,nz_,152,143,79,20
34,dist,152,143,79,20
37,unknown_4,238,143,16,15
36,0,260,143,15,19
35,){,283,143,24,24
38,nz,141,170,79,20
39,dist,141,170,79,20
43,=,227,170,16,13
40,n.dist,249,170,69,20
42,unknown_5,324,170,16,16
41,1;,346,170,24,22
44,indirconn[,141,197,111,24
45,nz_,260,197,79,20
46,dist,260,197,79,20
47,]++;,347,197,44,24
48,unknown_6,141,251,26,20
49,important,173,251,101,24
50,add,281,251,37,20
51,adds,324,251,48,20
57,to,379,251,26,19
52,the,411,251,37,20
53,end,454,251,37,20
54,0f,497,251,27,20
55,the,530,251,37,20
56,list,574,251,46,20
58,"ToDo,add(",140,278,101,24
60,nz,249,278,26,19
59,);,283,278,22,24
61,unknown_7,98,305,14,24
62,unknown_8,55,332,14,24
63,if,54,359,27,20
64,unknown_9,88,359,12,24
65,!Todo.isEmpty(),112,359,161,24
66,){,283,359,24,24
72,nz,98,386,26,19
74,=,130,386,16,13
67,unknown_10,153,386,12,24
68,Node,173,386,48,20
69,unknown_11,229,386,12,24
70,ToDo.remove,248,386,133,24
73,unknown_12,389,386,16,19
71,);,413,386,21,24
75,BFSdist,98,413,89,24
78,"n2,",195,413,33,22
79,"ToDo,",237,413,56,22
76,indirconn,303,413,101,20
77,);,413,413,21,24
80,unknown_13,55,440,14,24
81,unknown_14,11,467,15,24
