,word,x,y,width,height
0,private,12,35,80,24
1,void,97,35,48,20
2,actionLoadNotes(),152,35,186,24
3,{,347,35,14,24
4,enableUserActions,54,62,197,24
5,false,260,62,59,20
6,);,327,62,21,24
7,unknown_0,54,116,27,20
17,set,87,116,36,19
8,focus,130,116,66,23
9,1,130,116,66,23
10,otherwise,206,116,102,20
11,it,314,116,25,20
12,gives,346,116,58,24
13,focus,411,116,58,20
18,to,476,116,26,19
14,"""clear""",509,116,78,20
19,77,594,116,27,16
15,scary/not,628,116,100,24
16,wanted,734,116,70,20
20,multisubmitButton.requestFocusInWindow();,54,143,445,24
21,resetsingleTextFields();,55,197,261,24
22,multipleGUIList.clearselection();,54,224,359,24
23,multipleResources,54,251,188,24
25,=,249,251,16,13
24,loadNotesFile();,272,251,173,24
26,updateMultiList();,55,278,196,24
27,enableUserActions,54,305,197,24
29,true,260,305,48,19
28,);,316,305,21,24
30,unknown_1,11,332,15,24
