word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
actionPerformed(,actionPerformed,141,35,175,24
ActionEvent,ActionEvent,323,35,124,20
e,e,454,35,16,17
),),478,35,11,24
{,{,498,35,15,24
int[],int[],54,62,57,24
selectedRows,selectedRows,120,62,133,20
=,=,259,62,16,13
features.getSelectedRows();,features.getSelectedRows();,281,62,294,24
if,if,54,116,27,20
(,(,88,116,12,24
selectedRows,selectedRows,109,116,141,20
-----------,Zength,250,116,68,24
>,>,324,116,16,16
0,0,346,116,16,19
),),370,116,11,24
{,{,390,116,15,24
boolean,boolean,98,143,80,20
valueToBeSet,valueToBeSet,184,143,134,20
=,=,324,143,16,13
((,((,348,143,22,24
Boolean,BooZean,379,143,79,20
),),467,143,12,24
features.getValueAt(,features.getValueAt(,486,143,219,24
selectedRows[,selectedRows[,142,170,143,24
0,0,292,170,16,19
-----------,"1,",315,170,21,24
0,0,346,170,16,19
)).booleanValue();,)).booleanvalue();,370,170,194,24
for,for,98,224,36,20
(,(,143,224,11,24
int,int,162,224,37,20
-----------,1,206,224,16,20
=,=,227,224,16,13
0;,0;,249,224,23,22
-----------,1,281,224,16,20
<,<,303,224,16,15
selectedRows,selectedRows,325,224,142,20
-----------,Zength;,466,224,76,24
-----------,1,551,224,38,20
),),597,224,11,24
{,{,617,224,15,24
features.setValueAt(,features.setValueAt,141,251,218,24
new,new,368,251,38,17
Boolean(,Boolean(,411,251,89,24
!valueToBeSet,!valueToBeSet,511,251,141,20
"),","),",661,251,21,24
selectedRows[,selectedRows[,692,251,144,24
-----------,1,843,251,16,20
"],",],866,251,21,24
0,0,897,251,16,19
);,);,921,251,21,24
},},98,278,14,24
},},55,305,14,24
},},11,332,15,24
