,word,x,y,width,height
0,public,12,35,69,24
1,boolean,87,35,80,20
2,add(,173,35,46,24
6,Date,227,35,48,19
3,date,281,35,48,20
4,unknown_0,337,35,12,24
5,{,358,35,14,24
7,if,54,62,27,20
8,unknown_1,88,62,12,24
9,dates,108,62,165,24
10,contains,108,62,165,24
11,date,281,62,48,20
12,)),337,62,23,24
14,return,99,89,68,19
13,false;,173,89,67,23
15,boolean,55,143,79,20
16,added,141,143,58,20
18,=,205,143,16,13
17,false;,227,143,67,23
19,for,54,170,37,20
20,unknown_2,99,170,12,24
21,int,119,170,37,20
22,1,162,170,16,20
32,=,184,170,16,13
29,0;,206,170,23,22
23,1,238,170,16,20
31,unknown_4,259,170,16,16
24,dates.size(),281,170,133,24
30,&&,421,170,28,19
25,!added;,457,170,75,23
26,it+,540,170,38,20
27,unknown_3,586,170,11,24
28,{,606,170,15,24
36,Date,98,197,48,19
37,nextDate,152,197,91,19
38,=,249,197,16,13
33,dates.get,270,197,111,24
34,1,389,197,16,20
35,);,413,197,21,24
39,if,98,251,26,20
40,unknown_5,132,251,11,24
41,datebefore,152,251,132,24
44,nextDate,292,251,91,19
42,)),391,251,23,24
43,{,422,251,15,24
45,dates.add(,141,278,110,24
46,"1,",260,278,22,23
47,date,292,278,48,20
48,);,348,278,22,24
49,added,141,305,58,20
51,=,205,305,16,13
50,true;,228,305,55,22
52,unknown_6,98,332,14,24
53,unknown_7,55,359,14,24
54,if,54,386,27,20
55,unknown_8,88,386,12,24
56,!added,112,386,66,20
57,unknown_9,186,386,12,24
58,{,206,386,15,24
59,dates.add(,98,413,110,24
60,date,216,413,49,20
61,);,273,413,21,24
62,unknown_10,55,440,14,24
63,return,55,468,69,19
64,true;,130,468,56,22
65,unknown_11,11,494,15,24
