,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,appendDeclarations,141,35,208,24
3,LaTexdocumentPortion,358,35,219,20
4,pack,584,35,55,24
5,1,584,35,55,24
6,LaTexdocumentPortion,649,35,220,20
7,decl,875,35,48,20
8,unknown_0,932,35,11,24
9,{,952,35,14,24
10,if,54,62,27,20
11,unknown_1,88,62,12,24
12,bContainsEndnotes,109,62,187,20
13,unknown_2,305,62,12,24
14,unknown_3,325,62,15,24
15,"pack,append(",98,89,132,24
16,"Iusepackage{endnotes}""",239,89,251,24
17,).nl();,499,89,76,24
18,unknown_4,55,116,14,24
19,if,54,143,27,20
20,unknown_5,88,143,12,24
21,bContainsFootnotes,109,143,198,20
22,unknown_6,316,143,11,24
23,convertFootnotesConfiguration(,335,143,327,24
24,decl,670,143,48,20
25,);,726,143,22,24
26,if,54,170,27,20
27,unknown_7,88,170,12,24
28,bContainsEndnotes,109,170,187,20
29,unknown_8,305,170,12,24
30,convertEndnotesconfiguration,324,170,316,24
31,decl,648,170,49,20
32,);,705,170,21,24
33,unknown_9,11,197,15,24
