,word,x,y,width,height
0,public,12,35,69,24
3,Map,87,35,37,23
1,asMap(),130,35,79,24
2,unknown_0,217,35,15,24
5,Map,54,62,37,23
6,map,97,62,38,21
8,=,141,62,16,13
7,new,163,62,37,17
4,HashMap();,206,62,110,24
9,unknown_1,54,89,27,20
14,map.put,86,89,80,23
10,unknown_2,175,89,12,24
11,"""org_id""",196,89,97,24
12,org_id,303,89,69,24
13,);,381,89,21,24
15,map.,54,116,89,24
16,put,54,116,89,24
17,"""startDate""",153,116,129,23
18,start_date,293,116,112,22
19,);,413,116,21,24
20,map.,54,143,89,24
21,put,54,143,89,24
22,"""endDate""",153,143,108,23
23,end_date,270,143,92,22
24,);,370,143,21,24
25,if,54,197,27,20
26,unknown_3,88,197,12,24
27,this.organization,109,197,187,24
30,!=,306,197,23,19
28,null,336,197,47,20
29,unknown_4,391,197,12,24
31,map.put,97,224,90,24
32,"""organization""",196,224,162,24
33,this.organization.acronym,368,224,275,24
34,);,651,224,21,24
35,map.,54,251,89,24
36,put,54,251,89,24
37,"type""",153,251,75,24
38,unknown_5,240,251,11,24
39,this.isVisitor(),260,251,175,24
43,2,443,251,16,19
40,"""Visitor""",466,251,99,20
44,unknown_6,576,251,9,17
41,"""Employee",596,251,110,24
42,));,716,251,32,24
45,unknown_7,54,278,27,20
48,return,88,278,68,19
49,new,163,278,37,17
46,JSONObject,206,278,121,24
50,map,335,278,37,21
47,);,381,278,21,24
51,return,55,306,69,19
52,map;,130,306,45,21
53,unknown_8,11,332,15,24
