,word,x,y,width,height
0,private,12,35,80,24
8,XYDataset,97,35,102,19
1,createDataset,206,35,153,24
2,double[],368,35,88,24
3,values_,465,35,77,23
4,1,465,35,77,23
5,string,551,35,69,24
9,name,627,35,48,17
6,unknown_0,683,35,12,24
7,unknown_1,703,35,15,24
10,unknown_2,54,62,27,20
12,create,87,62,70,19
11,dataset,162,62,80,20
13,1,249,62,16,19
14,final,54,89,59,20
15,XYSeries,119,89,91,20
16,series,217,89,69,20
21,=,292,89,16,13
19,new,314,89,38,17
17,XYSeries,356,89,101,24
20,name,465,89,48,17
18,);,521,89,21,24
22,for(,54,143,46,24
23,int,108,143,37,20
24,1,152,143,16,20
30,=,173,143,16,13
29,0;,195,143,23,22
25,isvalues,227,143,99,20
26,length;,326,143,76,24
27,i++,411,143,37,20
28,){,456,143,24,24
31,"series,add(",98,170,121,24
32,"1,",227,170,23,23
33,values[,259,170,80,24
34,1,346,170,16,20
35,unknown_3,369,170,12,24
36,);,391,170,22,24
37,unknown_4,55,197,14,24
38,final,54,224,59,20
39,XYSeriescollection,119,224,199,20
40,collection,324,224,113,20
43,=,443,224,16,13
42,new,465,224,38,17
41,XYSeriesCollection();,508,224,229,24
44,collection.addSeries,54,251,230,24
45,series,293,251,68,20
46,);,370,251,21,24
48,return,55,278,69,19
47,collection;,130,278,121,23
49,unknown_5,11,305,15,24
