word,predicted_word,x,y,width,height
public,public,12,35,69,24
GraphModel,GraphModel,86,35,114,24
createGraphModel,createGraphModel,206,35,177,24
(,(,391,35,12,24
List,List,412,35,46,20
includedNodes,includedNodes,465,35,145,20
),),618,35,12,24
{,{,638,35,15,24
-----------,num,55,62,142,23
model;,modelst+;,55,62,142,23
System.out.println(,System.out.println(,54,89,208,24
"""PGraphModel:","""PGraphModel:",272,89,141,24
creating,creating,422,89,90,24
a,a,519,89,16,17
new,new,541,89,38,17
non-super,non-super,584,89,101,21
graphmodel:,graphmodel:,692,89,120,24
"""","""",823,89,13,13
+,+,843,89,16,16
-----------,num,865,89,112,22
model,models,865,89,112,22
);,);,986,89,21,24
GraphModel,GraphModel,54,143,113,24
model,model,173,143,59,20
=,=,238,143,16,13
new,new,271,143,37,17
PGraphModel(,PGraphModel(,314,143,132,24
"""Phoebe""","""Phoebe""",455,143,89,20
+,+,551,143,16,16
-----------,num,573,143,120,23
model,"models,",573,143,120,23
getModelSubSet(,getModelsubSet,702,143,165,24
includedNodes,includedNodes,875,143,145,20
));,));,1029,143,32,24
getCommunity().add(,getcommunity().add,54,170,208,24
model,model,270,170,59,20
);,);,337,170,22,24
return,Kreturn,54,197,91,20
new,new,152,197,38,17
PGraphModel(,PGraphModel(,195,197,132,24
"""Phoebe""","""Phoebe""",336,197,89,20
+,+,432,197,16,16
-----------,num,455,197,119,23
model,"models,",455,197,119,23
getModelSubSet(,getModelsubSet,584,197,164,24
includedNodes,includedNodes,756,197,145,20
));,));,910,197,32,24
return,return,55,251,69,19
model;,model;,130,251,67,23
},},11,278,15,24
