,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,deletecascade,141,35,154,24
3,VyhladavaciAlgoritmus,302,35,232,24
4,algorithm,540,35,103,24
5,unknown_0,651,35,11,24
6,{,671,35,15,24
7,I/searcheds,54,62,124,20
8,gethibernateTemplate().bulkUpdate,54,89,370,24
9,"""DELETE",99,116,79,20
10,Searched,184,116,91,20
13,WHERE,280,116,60,19
11,algorithm,346,116,102,24
14,=,454,116,16,13
12,"2""",476,116,33,23
19,new,379,143,37,17
15,Object[],421,143,89,24
16,{,520,143,14,24
17,algorithm,540,143,103,24
18,});,649,143,34,24
20,Iplans,54,170,80,24
21,gethibernateTemplate().bulkUpdate,54,197,370,24
22,"""DELETE",99,224,79,20
23,SearchPlan,184,224,112,20
26,WHERE,302,224,60,19
24,algorithm,368,224,102,24
27,=,475,224,16,13
25,"2""T",497,224,34,23
32,new,325,251,37,17
28,Object[],367,251,89,24
29,{,466,251,14,24
30,algorithm,486,251,103,24
31,});,595,251,34,24
33,Iprefs,54,278,80,24
34,gethibernateTemplate().bulkUpdate,54,305,370,24
35,"""DELETE",99,332,79,20
36,SearchPrefs,184,332,123,20
39,WHERE,313,332,60,19
37,algorithm,378,332,103,24
40,=,486,332,16,13
38,"2""",508,332,34,23
45,new,336,359,37,17
41,Object[],378,359,89,24
42,{,476,359,15,24
43,algorithm,497,359,103,24
44,});,605,359,35,24
46,I/categories,54,386,134,24
47,gethibernateTemplate().bulkUpdate,54,413,370,24
48,"""DELETE",99,440,79,20
49,Searchcategory,184,440,156,24
52,WHERE,345,440,60,19
50,algorithm,411,440,102,24
53,=,519,440,16,13
51,"2""",540,440,34,23
58,new,400,467,38,17
54,Object[],443,467,89,24
55,unknown_1,541,467,15,24
56,algorithm,562,467,102,24
57,});,670,467,34,24
59,delete=,54,494,79,24
60,algorithm,141,494,102,24
61,);,251,494,21,24
62,unknown_2,11,521,15,24
