,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,draw(),141,35,68,24
3,unknown_0,217,35,15,24
4,pAvj,55,62,45,24
5,"cSketch,stroke",101,62,172,24
7,unknown_1,281,62,16,19
6,);,305,62,21,24
8,pAvj,55,89,45,24
9,cSketch.fill(,101,89,150,24
11,128,260,89,37,19
10,);,305,89,21,24
12,pAvj,55,116,45,24
13,cSketch.rect,101,116,150,24
17,"XPOs,",260,116,55,22
18,"yPos,",324,116,56,23
14,xSize,389,116,66,23
15,ysize,464,116,60,24
16,);,532,116,21,24
19,drawFPS();,54,143,110,24
20,pAvj,55,170,45,24
21,cSketch.fill(,101,170,150,24
23,255,260,170,37,19
22,);,305,170,21,24
24,pAvj,55,197,45,24
25,cSketch.textAligni,101,197,204,24
27,p.LEFT,314,197,76,23
28,p.BASELINE,401,197,112,23
26,);,521,197,21,24
29,pAvj,55,224,45,24
30,cSketch.textFont,101,224,194,24
31,pAvj,303,224,152,24
32,"fontSS14,",303,224,152,24
34,14,465,224,27,19
33,);,499,224,22,24
49,unknown_7,11,251,15,24
35,pAvj,55,251,45,24
36,cSketch.text,101,251,150,24
37,unknown_2,261,251,13,13
46,unknown_4,284,251,10,17
47,unknown_5,295,251,9,17
38,Control,313,251,81,20
39,"FPS""",401,251,54,23
42,"XPos,",465,251,55,22
43,yPos,529,251,48,23
45,unknown_3,583,251,16,16
40,ySize,605,251,59,24
48,unknown_6,672,251,12,8
44,5,692,251,15,19
41,);,716,251,21,24
