word,predicted_word,x,y,width,height
public,public,12,35,69,24
string,string,86,35,70,24
encode(,encode,162,35,79,24
String,String,249,35,69,24
string,string,325,35,69,24
),),402,35,12,24
throws,throws,422,35,69,20
EncoderException,EncoderException,497,35,177,24
{,{,682,35,14,24
byte[],byte[],55,62,67,24
"bytes,","bytes,",130,62,66,24
encoded_bytes;,encoded_bytes;,206,62,153,24
string,string,54,89,70,24
encoded_string,encoded_string,130,89,156,24
=,=,292,89,16,13
""""";",""""";",315,89,33,23
try,try,55,143,37,23
{,{,98,143,15,24
bytes,bytes,98,170,58,24
=,=,162,170,16,13
string.getBytes(,string.getBytes,185,170,174,24
"""UTF-8""","""UTF-8""",369,170,78,20
);,);,456,170,22,24
encoded_bytes,encoded_bytes,98,197,144,24
=,=,249,197,16,13
encodeBase64(,encodeBase64(,270,197,143,24
bytes,bytes,422,197,58,24
);,);,489,197,21,24
encoded_string,encoded_string,98,224,155,24
=,=,259,224,16,13
new,new,282,224,37,17
String(,String(,324,224,79,24
encoded_bytes,encoded_bytes,411,224,145,24
);,);,564,224,22,24
},},55,278,14,24
catch,catch,76,278,58,20
(,(,143,278,11,24
UnsupportedEncodingException,UnsupportedEncodingException,162,278,307,24
ex,ex,476,278,26,17
),),510,278,12,24
{,{,530,278,15,24
ex,ex.,98,305,228,24
ex.printStackTrace();,printstackTrace();,98,305,228,24
},},55,332,14,24
return,return,55,359,69,19
encoded_string;,encoded_string;,130,359,164,24
},},11,386,15,24
