,word,x,y,width,height
0,public,12,35,69,24
1,Value,86,35,60,20
2,evaluate,152,35,99,24
3,Value,259,35,60,20
4,value,324,35,59,20
5,unknown_0,391,35,12,24
6,throws,411,35,69,20
7,ExternaFunctionException,487,35,274,24
8,{,768,35,15,24
9,if,54,62,27,20
10,unknown_1,88,62,12,24
11,unknown_2,101,62,21,24
12,value,129,62,60,20
13,instanceof,195,62,113,20
14,Literal,315,62,79,20
15,)),402,62,23,24
16,unknown_3,433,62,15,24
17,throw,98,89,59,20
28,new,163,89,37,17
18,ExternaFunctionException(,206,89,283,24
19,"""Values",498,89,79,20
20,need,584,89,47,20
26,to,638,89,26,19
21,be,671,89,26,20
22,literals,704,89,89,20
27,to,800,89,26,19
23,be,833,89,26,20
24,"understood""",865,89,122,20
25,);,996,89,22,24
29,unknown_4,55,116,14,24
30,DateTime,55,143,91,20
31,date,152,143,48,20
38,=,205,143,16,13
32,this.converter,228,143,348,24
33,convertDateTime,228,143,348,24
34,Literal,585,143,79,20
35,unknown_5,672,143,12,24
36,value,691,143,60,20
37,);,759,143,21,24
43,return,55,197,69,19
39,"this,converter",130,197,327,24
40,convertInteger,130,197,327,24
41,date.getHour(),465,197,154,24
42,);,629,197,21,24
44,unknown_6,11,224,15,24
