word,predicted_word,x,y,width,height
public,public,12,35,69,24
double,double,87,35,69,20
fScore(,fScore,162,35,79,24
ONDEXConcept,ONDEXConcept,249,35,133,23
-----------,"X,",389,35,23,20
ONDEXConcept,ONDEXConcept,421,35,134,23
-----------,,562,35,16,21
),),586,35,11,24
{,{,606,35,15,24
double,double,54,62,70,20
recall,recall,131,62,69,20
=,=,205,62,16,13
recall(,recall(,228,62,77,24
-----------,"X,",314,62,22,20
y,y,345,62,17,21
);,);,370,62,21,24
double,double,54,89,70,20
precision,precision,130,89,102,24
=,=,238,89,16,13
precision(,precision(,260,89,110,24
-----------,"X,",378,89,23,20
y,y,410,89,17,21
);,);,435,89,21,24
double,double,54,116,70,20
score,score,131,116,58,17
=,=,195,116,16,13
0;,0;,216,116,24,22
if,if,54,143,27,20
(,(,88,143,12,24
recall,recall,109,143,69,20
+,+,184,143,16,16
precision,precision,206,143,101,24
=,=,317,143,23,19
0,0,346,143,16,19
),),370,143,11,24
{,{,390,143,15,24
score,score,98,170,59,17
=,=,162,170,16,13
(,(,186,170,11,24
2d,2d,206,170,26,20
*,*,239,170,13,13
recall,recall,261,170,68,20
*,*,336,170,14,13
precision,precision,357,170,101,24
),),467,170,12,24
/,/,486,170,16,20
(,(,510,170,12,24
recall,recall,531,170,68,20
+,+,605,170,16,16
precision,precision,627,170,101,24
);,);,737,170,21,24
},},55,197,14,24
return,return,55,225,69,19
score;,score;,131,225,66,20
},},11,251,15,24
