word,predicted_word,x,y,width,height
protected,protected,12,35,101,24
String,String,119,35,69,24
fetchString(,fetchstring(,195,35,132,24
int,int,335,35,37,20
"register,",register,379,35,98,24
int,int,486,35,37,20
len,len,531,35,35,20
),),575,35,12,24
{,{,595,35,15,24
int,int,54,62,37,20
ret,ret,99,62,35,19
=,=,141,62,16,13
getData(,getData(,162,62,89,24
"register,",register,261,62,97,24
byteBuff[,byteBuff,368,62,98,24
8,8,476,62,15,19
);,);,499,62,22,24
char,char,54,89,48,20
[],[],111,89,21,24
charBuff,charBuff,141,89,91,20
=,=,238,89,16,13
new,new,260,89,38,17
char[,char[,303,89,57,24
len,len,369,89,35,20
-----------,J;,412,89,22,24
for(,for(,54,143,46,24
int,int,108,143,37,20
-----------,1,152,143,16,20
=,=,173,143,16,13
0;,0;,195,143,23,22
-----------,1,227,143,16,20
<,<,249,143,16,15
len;,len;,272,143,44,23
int,it+,324,143,38,20
),),370,143,11,24
charBuff[,charBuff[,98,170,100,24
-----------,1,206,170,16,20
],],228,170,12,24
=,=,249,170,16,13
(,(,272,170,12,24
byteBuff[,byteBuff[,292,170,101,24
-----------,1,400,170,16,20
],],423,170,12,24
==,==,443,170,27,13
0,0,476,170,15,19
?,?,497,170,16,19
-----------,,522,170,9,13
-----------,,544,170,9,13
:,:,565,170,10,17
(,(,585,170,12,24
char,char,605,170,48,20
)byteBuff[,)byteBuff[,661,170,110,24
-----------,1,778,170,16,20
]);,]);,801,170,33,24
return,return,99,197,68,19
new,new,174,197,37,17
String(,String(,216,197,79,24
charBuff,charBuff,303,197,98,23
0,0,411,197,23,22
len,Zen,444,197,36,20
);,);,489,197,21,24
},},11,224,15,24
