,word,x,y,width,height
0,public,12,35,69,24
1,JExpression,87,35,123,24
2,genIdents(),216,35,122,24
3,{,347,35,14,24
4,TokenReference,54,62,157,20
5,ref,217,62,37,20
7,=,259,62,16,13
6,getTokenReference();,281,62,218,24
8,Jexpression[],55,89,142,24
9,init,206,89,47,20
15,=,259,89,16,13
14,new,282,89,37,17
10,JExpression[,325,89,133,24
11,codes,465,89,66,20
12,length,531,89,68,24
13,J;,606,89,23,24
16,for,54,143,37,20
17,unknown_0,99,143,12,24
18,int,119,143,37,20
19,1,162,143,16,20
28,=,184,143,16,13
26,0;,206,143,23,22
20,1,238,143,16,20
27,unknown_2,259,143,16,16
21,codes,281,143,67,20
22,Zength;,347,143,77,24
23,it+,432,143,38,20
24,unknown_1,478,143,11,24
25,{,498,143,15,24
29,init[,98,170,57,24
30,1,162,170,16,20
31,unknown_3,185,170,12,24
40,=,205,170,16,13
39,new,228,170,37,17
32,JstringLiteral(,271,170,164,24
33,ref,444,170,44,23
34,codes[,497,170,69,24
35,1,573,170,16,20
36,1,596,170,131,24
37,getIdent(),596,170,131,24
38,);,737,170,21,24
41,unknown_4,55,197,14,24
47,return,55,224,69,19
42,VKUtils.createArray,129,224,220,24
43,ref,358,224,43,23
44,"cstdType.String,",411,224,174,24
45,init,594,224,48,20
46,);,651,224,21,24
48,unknown_5,11,251,15,24
