,word,x,y,width,height
0,private,12,35,80,24
1,JPanel,98,35,69,20
2,getconnectionPanel(),173,35,219,24
3,{,401,35,14,24
4,if,54,62,27,20
5,unknown_0,88,62,12,24
6,connectionPanel,108,62,167,20
10,==,281,62,27,13
7,null,314,62,48,20
8,unknown_1,370,62,11,24
9,{,390,62,15,24
11,connectionRoomLabel,98,89,210,20
14,=,313,89,16,13
13,new,336,89,37,17
12,JLabel();,379,89,99,24
15,connectionRomLabelsetText,98,116,305,24
16,"""Playground""",412,116,132,24
17,);,553,116,22,24
18,connectionPanel,98,143,167,20
21,=,270,143,16,13
20,new,292,143,38,17
19,JPanel();,336,143,98,24
22,"connectionPanel,setLayout",98,170,283,24
28,new,390,170,37,17
23,BoxLayout,433,170,110,24
24,"getconnectionPanel(),",551,170,228,24
26,BoxLayout.X,789,170,178,23
27,AXIS,789,170,178,23
25,));,975,170,32,24
29,connectionPane.add(,98,197,218,24
30,getconnectionsButton(),324,197,250,24
31,null,584,197,48,20
32,);,640,197,21,24
33,connectionPane.add(,98,224,218,24
34,"connectionRoomLabel,",324,224,218,23
35,null,552,224,47,20
36,);,607,224,22,24
37,unknown_2,55,251,14,24
39,return,55,278,69,19
38,connectionPanel;,130,278,175,23
40,unknown_3,11,305,15,24
