word,predicted_word,x,y,width,height
public,public,12,35,69,24
List,List,88,35,46,20
getFiles(,getFiles,141,35,100,24
FileSet,FileSet,249,35,79,20
fileSet,fileSet,335,35,80,20
),),424,35,11,24
{,{,444,35,15,24
List,List,55,62,46,20
files,files,108,62,59,20
=,=,173,62,16,13
new,new,195,62,38,17
ArrayList();,ArrayList();,237,62,133,24
String[],String[],54,89,89,24
names,names,152,89,58,17
=,=,216,89,16,13
fileSet,fileSet,238,89,305,24
fileSet.getDirectoryScanner(,getDirectoryscanner,238,89,305,24
project,project,552,89,79,24
),),640,89,11,24
).getIncludedFiles();,getIncludedFiles();,652,89,214,24
for,for,54,143,37,20
(,(,99,143,12,24
int,int,119,143,37,20
i,i,162,143,16,20
=,=,184,143,16,13
0;,0;,206,143,23,22
i,i,238,143,16,20
<,<,259,143,16,16
names,names,282,143,66,17
names.length;,Zength;,347,143,77,24
int,it+,432,143,38,20
),),478,143,11,24
{,{,498,143,15,24
String,string,97,170,70,24
name,name,174,170,47,17
=,=,227,170,16,13
names[,names[,249,170,68,24
i,i,324,170,16,20
-----------,J;,347,170,23,24
files.add(,files.add(,98,197,110,24
new,new,217,197,37,17
File(,File,260,197,56,24
fileSet.getDir(,fileSet.getDir(,324,197,165,24
project,project,498,197,79,24
"),","),",586,197,20,24
name,name,617,197,47,17
));,));,672,197,32,24
},},55,224,14,24
return,return,55,251,69,19
files;,files;,130,251,67,23
},},11,278,15,24
