,word,x,y,width,height
0,public,12,35,69,24
1,WebImage,86,35,92,24
2,getImagewithsource,184,35,208,24
3,String,400,35,69,24
6,source,476,35,69,17
4,unknown_0,553,35,12,24
5,{,574,35,14,24
7,WebImage[],53,62,112,24
8,images,173,62,69,24
10,=,249,62,16,13
9,getImages();,270,62,132,24
11,for,54,116,37,20
12,unknown_1,99,116,12,24
13,int,119,116,37,20
14,1,162,116,16,20
23,=,184,116,16,13
21,0;,206,116,23,22
15,1,238,116,16,20
22,unknown_3,259,116,16,16
16,images,281,116,77,24
17,Zength;,358,116,76,24
18,i++,443,116,38,20
19,unknown_2,489,116,11,24
20,{,509,116,15,24
24,if,98,143,26,20
25,unknown_4,132,143,11,24
26,HttpUnitutils,152,143,240,24
27,matches,152,143,240,24
37,source,401,143,76,20
28,images[,486,143,80,24
29,1,573,143,16,20
30,1,596,143,142,24
31,getSource(),596,143,142,24
32,)),748,143,22,24
36,return,779,143,68,19
33,images[,854,143,79,24
34,1,940,143,16,20
35,J;,963,143,22,24
38,unknown_5,55,170,14,24
40,return,55,197,69,19
39,null;,130,197,56,23
41,unknown_6,11,224,15,24
