word,predicted_word,x,y,width,height
private,private,12,35,80,24
JSplitPane,JSplitPane,98,35,113,24
getJSplitPane(),getJSplitPane,216,35,165,24
{,{,390,35,15,24
if,if,54,62,27,20
(,(,88,62,12,24
jSplitPane,jsplitPane,108,62,113,24
==,==,227,62,27,13
-----------,,260,62,48,20
),),316,62,11,24
{,{,336,62,15,24
jSplitPane,jsplitPane,98,89,113,24
=,=,216,89,16,13
new,new,238,89,38,17
JSplitPane();,JsplitPane();,282,89,142,24
DevicesTreePanel,DevicesTreePanel,98,143,177,20
p,p,282,143,15,21
=,=,303,143,16,13
new,new,325,143,37,17
DevicesTreePanel();,DevicesTreePanel();,368,143,207,24
p.addSelectionChangeListener(,p.addSelectionchangeListener,98,170,315,24
this,this,422,170,47,20
);,);,478,170,21,24
jSplitPane.setLeftComponent(,jsplitPane.setLeftComponent,98,197,305,24
p,p,411,197,15,21
);,);,435,197,21,24
jSplitPane.setRightComponent(,jsplitPane.setRightcomponent,98,224,315,24
getJTabbedPane(),getJTabbedPane,422,224,175,24
);,);,607,224,22,24
jSplitPane.setDividerSize(,jSplitPane.setDividersize,98,278,283,24
5,5,389,278,16,19
);,);,413,278,21,24
jSplitPane.setDividerLocation(,jsplitPane.setdividerLocation,98,305,326,24
200,200,432,305,38,19
);,);,478,305,21,24
},},55,332,14,24
return,return,55,359,69,19
jSplitPane;,jsplitPane;,130,359,121,24
},},11,386,15,24
