,word,x,y,width,height
0,private,12,35,80,24
3,JMenu,98,35,58,19
1,getMenuAdministracion(),162,35,252,24
2,{,422,35,15,24
4,if,54,62,27,20
5,unknown_0,88,62,12,24
6,menuAdministracion,108,62,199,20
10,==,313,62,27,13
7,null,346,62,48,20
8,unknown_1,402,62,12,24
9,{,422,62,15,24
11,menuAdministracion,97,89,199,20
14,=,303,89,16,13
13,new,325,89,37,17
12,JMenu();,368,89,88,24
15,menuAdministracion.setText,97,116,295,24
16,Messages.getstring(,400,116,208,24
17,"""gui",617,116,132,24
18,GUI,617,116,132,24
19,"57""",617,116,132,24
20,));,759,116,32,24
21,/SNON-NLS-1S,800,116,146,21
22,menuAdministracion.setIcon(,97,143,295,24
27,new,400,143,38,17
23,ImageIcon(,444,143,110,24
24,"data/icons/package_system.png""",563,143,337,24
25,));,910,143,32,24
26,/SNON-NLS-1S,951,143,146,21
28,menuAdministracion.add(,97,170,252,24
29,getMenuItemAdminusuarios(),357,170,284,24
30,);,651,170,21,24
31,menuAdministracion.add(,97,197,252,24
32,getMenuItemAdminResorces(),357,197,284,24
33,);,651,197,21,24
34,unknown_2,55,224,14,24
36,return,55,251,69,19
35,menuAdministracion;,130,251,207,23
37,unknown_3,11,278,15,24
