,word,x,y,width,height
0,public,12,35,69,24
1,List,88,35,46,20
2,getReFeedItems,141,35,175,24
3,FeedItem,325,35,91,20
4,feedItem,422,35,91,20
5,unknown_0,521,35,12,24
6,unknown_1,541,35,15,24
7,final,54,62,59,20
8,int,119,62,37,20
9,feedId,162,62,70,20
12,=,238,62,16,13
10,feedItem.getFeed(),260,62,336,24
11,getFeedId();,260,62,336,24
13,final,54,89,59,20
14,String,119,89,69,24
15,sql,196,89,36,24
26,=,238,89,16,13
16,"""select",261,89,78,20
17,unknown_2,347,89,13,13
18,from,368,89,48,20
19,T_FeedItem,421,89,114,22
20,where,539,89,60,20
23,FEED_,606,89,80,21
24,ID,606,89,80,21
21,=,691,89,26,17
25,unknown_3,724,89,16,16
22,feedId;,746,89,77,23
35,return,55,116,69,19
27,getPagedListByNativeSQL(,130,116,262,24
28,"FeedItem,class",401,116,162,23
29,1,401,116,162,23
30,"sql,",574,116,43,24
31,unknown_4,628,116,13,13
32,id,648,116,26,20
33,"desc""",681,116,66,23
36,"1,",757,116,22,22
37,20,789,116,26,19
34,);,824,116,21,24
38,unknown_5,11,143,15,24
