,word,x,y,width,height
0,private,12,35,80,24
1,JComboBox,98,35,102,20
2,getUnitcombo(),206,35,154,24
3,{,368,35,15,24
4,if,54,62,27,20
5,unknown_0,88,62,12,24
6,m_Unitcombo,108,62,124,22
10,==,238,62,27,13
7,null,271,62,48,20
8,unknown_1,327,62,11,24
9,{,347,62,14,24
11,m_Unitcombo,97,89,124,22
14,=,227,89,16,13
13,new,249,89,38,17
12,JComboBox();,292,89,132,24
15,m_Unitcombo.setBounds(,97,116,241,24
17,87,346,116,34,22
18,"83,",389,116,34,22
19,"125,",432,116,45,22
20,22,486,116,27,19
16,);,521,116,21,24
21,m_Unitcombo.setModel(,97,143,230,24
22,getUnitcomboModel(),335,143,208,24
23,);,553,143,22,24
24,unknown_2,55,170,14,24
25,if,54,197,27,20
26,unknown_3,88,197,12,24
27,m_FreePara.getUnit(),108,197,219,24
31,!=,338,197,24,19
28,null,368,197,48,20
29,unknown_4,424,197,11,24
30,{,444,197,15,24
32,m_Unitcombo.setSelectedItem,97,224,306,24
33,m_FreePara.getunit(),411,224,219,24
34,);,640,224,21,24
35,unknown_5,55,251,14,24
37,return,55,278,69,19
36,m_Unitcombo;,130,278,132,23
38,unknown_6,11,305,15,24
