word,predicted_word,x,y,width,height
private,private,12,35,80,24
void,void,97,35,48,20
goToRegistration(),goToRegistration(),152,35,197,24
{,{,358,35,14,24
-----------,M,54,62,197,24
m_logo.setVisible(,Zogo.setVisible,54,62,197,24
-----------,FALSE,260,62,59,20
);,);,327,62,21,24
-----------,M,54,89,176,24
m_login.setText(,login.setText,54,89,176,24
"""Cancel""","Cancel""",239,89,89,20
);,);,337,89,22,24
m_userLabel.setLocation(,m_userLabelsetLocation,54,116,262,24
"16,","16,",324,116,34,22
4,4,367,116,17,19
);,);,391,116,22,24
m_username.setLocation(,m_username,54,143,251,24
m_username.setLocation(,setLocation(,54,143,251,24
"16,","16,",314,143,33,22
24,24,357,143,27,19
);,);,391,143,22,24
m_passLabel.setLocation(,m_passLabel.setLocationg,54,170,262,24
"16,","16,",324,170,34,22
52,52,368,170,26,19
);,);,402,170,22,24
m_password.setLocation(,m_password.setLocation(,54,197,251,24
"16,","16,",314,197,33,22
70,70,357,197,26,19
);,);,391,197,22,24
m_confirmPass.setVisible(,m_confirmPass.setVisible,54,224,273,24
-----------,TRUE,336,224,47,19
);,);,391,224,22,24
m_confPassLabel.setVisible(,m_confPassLabelsetVisible,54,251,295,24
-----------,TRUE,357,251,48,19
);,);,413,251,21,24
m_male.setVisible(,m_male.setVisible,54,278,197,24
-----------,TRUE,260,278,48,19
);,);,316,278,21,24
-----------,m,54,305,219,24
m_female.setVisible(,femalesetVisiblel,54,305,219,24
-----------,TRUE,282,305,47,19
);,);,337,305,22,24
this.setTitle(,"this,setTitle",55,332,153,24
"""Registration""","""Registration""",218,332,153,24
);,);,381,332,21,24
},},11,359,15,24
