,word,x,y,width,height
0,private,12,35,80,24
1,boolean,98,35,80,20
2,iamNear,184,35,89,24
6,Actor,280,35,60,19
3,defender,346,35,91,20
4,unknown_0,445,35,12,24
5,{,466,35,14,24
7,short,55,62,57,20
19,short,55,62,57,20
8,XDiff,119,62,59,20
20,ydiff,119,62,59,24
17,=,184,62,16,13
29,=,184,62,16,13
9,unknown_1,207,62,12,24
21,unknown_5,207,62,12,24
10,short,228,62,57,20
22,short,228,62,57,20
11,unknown_2,294,62,12,24
23,unknown_6,294,62,12,24
12,unknown_3,315,62,12,24
24,unknown_7,315,62,12,24
13,defender,335,62,198,24
14,getXpos(),335,62,198,24
25,defender,335,62,198,24
26,getYpos(),335,62,198,24
18,unknown_4,542,62,12,8
30,unknown_8,542,62,12,8
15,getXpos(),562,62,100,24
27,getYpos(),562,62,100,24
16,);,672,62,22,24
28,);,672,62,22,24
31,if,54,143,27,20
32,unknown_9,88,143,12,24
33,XDiff,108,143,59,20
49,unknown_17,173,143,16,16
45,1,195,143,16,19
34,unknown_10,220,143,9,24
35,unknown_11,231,143,8,24
36,ydiff,248,143,60,24
50,unknown_18,314,143,15,16
46,1,335,143,16,19
37,unknown_12,360,143,9,24
38,unknown_13,371,143,9,24
39,XDiff,389,143,59,20
51,unknown_19,454,143,16,16
47,-1,477,143,25,19
40,unknown_14,512,143,8,24
41,unknown_15,522,143,9,24
42,ydiff,540,143,59,24
52,unknown_20,605,143,16,16
48,-1,629,143,25,19
43,unknown_16,661,143,12,24
44,{,682,143,14,24
54,return,99,170,68,19
53,false;,173,170,67,23
55,unknown_21,55,197,14,24
56,return,55,225,69,19
57,true;,130,225,56,22
58,unknown_22,11,251,15,24
