,word,x,y,width,height
0,private,7,29,73,24
1,void,85,29,44,20
2,init(),135,29,63,24
3,throws,204,29,64,20
4,CoreException,273,29,134,24
5,{,412,29,14,24
6,final,45,56,55,20
7,String,105,56,65,24
9,name,175,56,44,16
10,=,224,56,15,11
8,getclassName();,243,56,152,24
11,final,45,83,55,20
12,IPackageFragment,106,83,162,24
13,pkg,274,83,34,24
15,=,313,83,15,11
14,getPackage();,332,83,132,24
16,final,45,110,55,20
17,ICompilationUnit,106,110,162,24
18,unit,274,110,44,20
27,=,323,110,15,11
19,pkgcreatecompilationUnit,343,110,261,24
25,name,610,110,44,16
26,unknown_1,659,110,16,16
20,java',680,110,81,24
21,unknown_0,769,110,31,23
24,"true,",807,110,53,22
22,null,868,110,43,20
23,);,918,110,21,24
28,setup,46,137,63,24
29,unit,115,137,44,20
30,);,166,137,21,24
31,createMainType,46,164,152,24
35,PUBLIC,204,164,151,22
36,"KEYWORD,",204,164,151,22
32,"pkg.getElementName(),",363,164,210,24
33,getclassName(,580,164,142,24
34,);,730,164,21,24
37,unknown_2,7,191,14,24
