,word,x,y,width,height
0,public,12,35,69,24
1,boolean,87,35,80,20
2,isInvalidEmailLink(),173,35,219,24
3,{,401,35,14,24
9,return,55,62,69,19
4,textLink,130,62,197,24
5,contains,130,62,197,24
6,ArticleLink,334,62,330,22
7,EMAIL_AT_SEPARATOR,334,62,330,22
8,unknown_0,672,62,12,24
10,&&,691,62,28,19
11,!textLink,101,89,237,24
12,toLowercase,101,89,237,24
13,Locale,347,89,347,24
14,getDefault()).startsWith(,347,89,347,24
15,"""mailto:",704,89,99,20
16,ii,704,89,99,20
17,unknown_1,813,89,11,24
19,&&,831,89,28,19
18,//SNON-NLS-1S,864,89,146,22
20,wikiFileURLgetWikiFileName,97,116,306,24
27,true,411,116,48,19
21,),467,116,119,24
22,contains,467,116,119,24
23,ArticleLink,593,116,331,22
24,EMAIL_AT,593,116,331,22
25,SEPARATOR,593,116,331,22
26,);,932,116,21,24
28,unknown_2,11,143,15,24
