,word,x,y,width,height
0,private,12,35,80,24
1,void,97,35,48,20
2,jbInit(),152,35,89,24
3,throws,249,35,69,20
4,Exception,325,35,101,24
5,unknown_0,433,35,15,24
6,setLayout,55,62,110,24
9,new,174,62,37,17
7,GridBagLayout(),216,62,165,24
8,);,391,62,22,24
10,add(,54,116,46,24
11,"m_environmentpanel,",108,116,207,24
19,new,98,143,38,17
12,GridBagconstraints(,141,143,208,24
13,0,357,143,23,22
14,0,389,143,23,22
15,"1,",422,143,22,22
16,"1,",454,143,23,22
17,"1.0,",486,143,45,22
18,"1.0,",540,143,45,22
20,GridBagconstraints.CENTER,292,170,282,24
21,I,292,170,282,24
22,GridBagconstraints,292,197,325,24
23,"HORIZONTAL,",292,197,325,24
33,new,292,224,38,17
24,Insets(,336,224,78,24
27,0,422,224,22,22
28,0,454,224,23,22
29,0,486,224,23,22
30,0,519,224,16,19
25,unknown_1,543,224,20,24
31,0,573,224,23,22
32,unknown_2,605,224,16,19
26,));,629,224,32,24
34,unknown_3,11,251,15,24
