,word,x,y,width,height
0,private,12,35,80,24
1,void,97,35,48,20
2,loadSystems(),153,35,142,24
3,{,304,35,14,24
4,int,54,62,37,20
5,"1,",98,62,22,23
6,num;,130,62,45,20
8,systemItem,54,89,114,23
7,dtls;,173,89,56,23
9,systemcombo.removeAIItems();,55,116,315,24
10,systemcombo.addItem(,55,143,218,24
11,"""<All>""",282,143,78,20
12,);,370,143,21,24
13,dbLink,54,197,70,20
15,=,130,197,16,13
14,true;,152,197,56,22
17,try,55,224,37,23
16,{,98,224,15,24
19,systems,98,251,80,23
20,=,184,251,16,13
18,copyBookInterface.getSystems();,206,251,336,24
21,unknown_0,55,278,14,24
22,catch,76,278,58,20
23,unknown_1,143,278,11,24
24,Exception,163,278,101,24
27,ex,270,278,27,17
25,unknown_2,305,278,12,24
26,unknown_3,325,278,15,24
28,if,98,305,26,20
29,unknown_4,132,305,11,24
34,message,151,305,81,21
33,!=,241,305,24,19
30,null,271,305,48,20
31,unknown_5,327,305,11,24
32,{,347,305,14,24
35,message.setText,141,332,175,24
36,ex.getMessage,324,332,165,24
37,),324,332,165,24
38,);,499,332,22,24
39,message,141,359,272,24
40,setcaretPosition,141,359,272,24
42,1,422,359,16,19
41,);,445,359,22,24
43,unknown_6,98,386,14,24
44,ex.,98,413,228,24
45,printstackTrace();,98,413,228,24
48,systems,98,440,80,23
51,=,184,440,16,13
50,new,206,440,38,17
46,ArrayList<,248,440,114,24
49,SystemItem,367,440,114,23
47,>();,486,440,46,24
52,dbLink,98,467,69,20
54,=,173,467,16,13
53,false;,195,467,67,23
55,unknown_7,55,494,14,24
57,num,55,521,37,17
58,=,97,521,16,13
56,systems.size();,120,521,163,24
59,for,54,575,37,20
60,unknown_8,99,575,12,24
61,1,119,575,16,20
69,=,141,575,16,13
66,0;,162,575,24,22
62,1,195,575,16,20
67,unknown_10,216,575,16,16
68,num;,238,575,45,20
63,i++,292,575,37,20
64,unknown_9,337,575,12,24
65,{,358,575,14,24
70,dtls,98,602,47,20
75,=,151,602,16,13
71,systems,174,602,131,24
72,get,174,602,131,24
73,1,314,602,16,20
74,);,337,602,22,24
76,systemcombo.addItem(,98,629,218,24
77,"dtls,description",324,629,178,24
78,);,510,629,22,24
79,unknown_11,55,656,14,24
80,unknown_12,11,683,15,24
