,word,x,y,width,height
0,private,12,35,80,24
3,Component,97,35,102,23
1,makeCenter(),205,35,133,24
2,{,347,35,14,24
4,imageCanvas,54,62,124,24
7,=,184,62,16,13
6,new,206,62,38,17
5,JPanel();,249,62,99,24
8,imageCanvas.addMouseListener,54,89,316,24
11,new,379,89,38,17
9,MouseAdapter(),422,89,154,24
10,{,584,89,15,24
12,@SuppressWarnings,97,116,198,24
13,"'synthetic-access""",304,116,197,24
14,unknown_0,510,116,12,24
15,@Override,97,143,103,22
16,public,98,170,69,24
17,void,173,170,48,20
18,mouseclicked(,227,170,143,24
21,MouseEvent,378,170,112,19
22,e,497,170,16,17
19,unknown_1,521,170,12,24
20,unknown_2,541,170,15,24
23,actionImageMouse,141,197,186,24
25,e,335,197,16,17
24,);,359,197,21,24
26,unknown_3,98,224,14,24
27,});,55,251,34,24
28,imageCanvas.add(,54,305,176,24
35,new,238,305,38,17
29,JLabel(,282,305,77,24
36,new,368,305,38,17
30,ImageIcon(,411,305,111,24
31,SWGFrame.class.getResource,529,305,295,24
32,images/swg,833,305,175,24
33,"png""",833,305,175,24
34,))));,1018,305,54,24
40,return,55,359,69,19
41,new,130,359,38,17
37,JScrollPane,174,359,131,24
38,imagecanvas,314,359,123,24
39,);,445,359,22,24
42,unknown_4,11,386,15,24
