,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,markstart(,140,35,111,24
3,Object,259,35,69,24
6,tag,336,35,36,23
4,unknown_0,381,35,11,24
5,{,401,35,14,24
7,synchronized,55,62,133,24
8,unknown_1,197,62,11,24
9,pairzstartTimeMap,217,62,188,24
10,unknown_2,413,62,12,24
11,unknown_3,433,62,15,24
12,pairzstartTimeMap.put,98,89,240,24
15,"tag,",346,89,44,23
13,clock.getcurrentTime,400,89,241,24
14,);,651,89,21,24
16,unknown_4,98,116,26,20
23,FIXME,130,116,59,19
17,it,195,116,25,20
18,probably,228,116,91,24
19,makes,324,116,59,20
25,more,389,116,48,17
26,sense,444,116,58,17
24,to,509,116,26,19
27,run,541,116,36,17
20,the,584,116,37,20
21,garbage,627,116,80,24
22,collection,713,116,113,20
28,unknown_5,98,143,26,20
29,periodically,130,143,135,24
30,instead,270,143,80,20
31,of,357,143,26,20
32,allocating,389,143,113,24
33,the,509,143,36,20
34,timer,552,143,58,20
36,every,616,143,59,21
35,time,681,143,48,20
37,Timer,97,170,59,20
38,removaTimer,163,170,133,20
40,=,303,170,16,13
39,clock.createNewtimer();,324,170,251,24
41,removaTimer,99,197,325,24
42,addTimerListener,99,197,325,24
46,new,433,197,38,17
43,GarbagecollectiontimerListener,475,197,338,24
45,tag,822,197,36,23
44,));,867,197,32,24
47,removalTimer,99,224,239,24
48,schedule,99,224,239,24
49,Time,345,224,220,24
50,inMilliseconds,345,224,220,24
51,maxWait,573,224,79,20
52,));,661,224,33,24
53,unknown_6,55,251,14,24
54,unknown_7,11,278,15,24
