word,predicted_word,x,y,width,height
private,private,12,35,80,24
void,void,97,35,48,20
populateNewList(),populateNewList(),152,35,186,24
{,{,347,35,14,24
newResources,newResources,55,62,133,19
=,=,195,62,16,13
mergeNewResources();,mergeNewResources();,216,62,218,24
SwingUtilities.invokeLater(,Swingutilities.invokeLater(,54,89,295,24
new,new,357,89,38,17
Runnable(),Runnable(),400,89,111,24
{,{,520,89,14,24
@SuppressWarnings(,@SuppressWarnings,97,116,198,24
"""synthetic-access""","'synthetic-access""",304,116,197,24
),),510,116,12,24
@Override,@Override,97,143,103,22
public,public,98,170,69,24
void,void,173,170,48,20
run(),run(),228,170,56,24
{,{,293,170,14,24
newListModel.clear();,newListModelclear();,141,197,229,24
for,for,141,224,37,20
(,(,186,224,11,24
Wrapper,Wrapper,205,224,81,23
wr,wr,291,224,27,17
:,:,328,224,9,17
newResources,newResources,346,224,134,19
),),489,224,11,24
newListModel.addElement(,newListModel.addElement,184,251,262,24
wr,wr,453,251,27,17
);,);,489,251,21,24
},},98,278,14,24
});,});,55,305,34,24
},},11,332,15,24
