,word,x,y,width,height
0,public,12,35,69,24
1,string,86,35,70,24
2,print,163,35,67,24
3,String,238,35,69,24
4,tab,314,35,37,20
5,unknown_0,359,35,12,24
6,unknown_1,379,35,15,24
7,if,54,62,27,20
8,unknown_2,88,62,12,24
12,content,108,62,80,19
9,instanceof,195,62,113,20
13,RegExp,314,62,69,23
10,unknown_3,391,62,12,24
11,{,412,62,14,24
22,return,99,89,68,19
14,tab,174,89,36,20
28,unknown_6,216,89,16,16
15,type,239,89,58,24
35,=,303,89,16,13
16,unknown_4,326,89,13,13
29,unknown_7,346,89,16,16
23,type,368,89,48,23
30,unknown_8,421,89,16,16
24,Out,443,89,70,19
25,NL,443,89,70,19
31,unknown_9,519,89,16,16
17,tab,541,89,37,20
32,unknown_10,583,89,16,16
18,"""content",606,89,90,20
19,unknown_5,706,89,21,20
33,unknown_11,735,89,16,16
26,Out,756,89,70,19
27,NL,756,89,70,19
34,unknown_12,832,89,16,16
20,RegExp)content),855,89,185,24
21,print,1041,89,75,24
36,"tabt""",12,116,57,20
37,unknown_13,88,116,13,13
38,);,111,116,21,24
39,unknown_14,55,143,14,24
40,else,54,170,48,20
50,return,99,197,68,19
41,tab,174,197,36,20
57,unknown_19,216,197,16,16
42,type,239,197,58,24
66,=,303,197,16,13
43,unknown_15,326,197,13,13
58,unknown_20,346,197,16,16
51,type,368,197,48,23
59,unknown_21,421,197,16,16
52,Out,443,197,70,19
53,NL,443,197,70,19
60,unknown_22,519,197,16,16
44,tab,541,197,37,20
61,unknown_23,583,197,16,16
45,"""content",606,197,90,20
46,unknown_16,706,197,21,20
62,unknown_24,735,197,16,16
54,Out,756,197,70,19
55,NL,756,197,70,19
63,unknown_25,832,197,16,16
47,tab,854,197,37,20
64,unknown_26,897,197,16,16
48,unknown_17,920,197,13,13
49,unknown_18,952,197,13,13
65,unknown_27,972,197,16,16
56,content;,994,197,88,22
67,unknown_28,11,224,15,24
