,word,x,y,width,height
0,protected,12,35,101,24
1,void,119,35,48,20
2,print(),174,35,78,24
3,{,260,35,15,24
4,System.out.println(,54,62,208,24
5,"""Print",272,62,67,20
6,for,346,62,37,20
7,unknown_0,390,62,13,13
11,unknown_2,411,62,16,16
10,prototype,433,62,102,23
12,unknown_3,540,62,16,16
8,unknown_1,563,62,219,15
9,);,791,62,21,24
13,cfg.visit(,54,89,111,24
16,new,174,89,37,17
14,PrintVisitor(),217,89,154,24
15,unknown_4,379,89,15,24
17,Phi,98,116,37,20
18,phi,141,116,37,24
20,=,184,116,16,13
19,null;,206,116,56,23
21,public,98,170,69,24
22,void,173,170,48,20
23,visitBlock(,227,170,122,24
24,final,357,170,59,20
25,Block,422,170,58,20
26,block,487,170,58,20
27,unknown_5,553,170,12,24
28,{,574,170,14,24
29,phi,141,197,37,24
33,=,184,197,16,13
30,exprPhiAtBlock,206,197,164,24
31,block,379,197,58,20
32,);,445,197,22,24
34,super,142,224,185,24
35,visitBlock(,142,224,185,24
36,block,336,224,58,20
37,);,402,224,22,24
38,unknown_6,98,251,14,24
39,public,98,278,69,24
40,void,173,278,48,20
41,visitLabelstmt,227,278,165,24
42,final,400,278,59,20
43,Labelstmt,466,278,100,20
46,stmt,574,278,46,19
44,unknown_7,629,278,12,24
45,unknown_8,649,278,15,24
47,super,142,305,228,24
48,visitlabelstmt,142,305,228,24
50,stmt,379,305,47,19
49,);,435,305,21,24
51,if,141,359,26,20
52,unknown_9,175,359,12,24
57,stmt,196,359,54,19
53,Zabel(),250,359,77,24
54,startsBlock(),328,359,151,24
55,unknown_10,489,359,11,24
56,{,509,359,15,24
58,if,184,386,27,20
59,unknown_11,218,386,12,24
60,phi,238,386,38,24
64,!=,284,386,24,19
61,null,314,386,48,20
62,unknown_12,370,386,11,24
63,{,390,386,15,24
65,println(,228,413,88,24
66,phi,325,413,37,24
67,);,370,413,21,24
68,phi,228,440,37,24
70,=,270,440,16,13
69,null;,292,440,56,23
71,unknown_13,184,467,15,24
72,unknown_14,141,494,15,24
73,unknown_15,98,521,14,24
74,});,55,548,34,24
75,System.out.println(,54,575,208,24
76,"""End",272,575,46,20
77,Print,325,575,57,20
78,unknown_16,391,575,315,15
79,);,716,575,21,24
80,unknown_17,11,602,15,24
