,word,x,y,width,height
0,private,12,35,80,24
1,string,97,35,70,24
2,readResponse,174,35,142,24
5,Inputstream,325,35,123,23
6,stream,455,35,69,19
3,unknown_0,532,35,11,24
4,{,552,35,15,24
7,BufferedReader,55,62,155,20
8,input,216,62,58,24
15,=,281,62,16,13
13,new,303,62,38,17
9,BufferedReader,346,62,165,24
14,new,519,62,38,17
10,InputstreamReader,563,62,196,24
12,stream,768,62,69,19
11,));,845,62,32,24
16,stringBuffer,54,89,134,24
17,Sb,196,89,25,20
20,=,227,89,16,13
19,new,249,89,38,17
18,stringBuffer();,292,89,164,24
21,string,54,116,70,24
22,line;,131,116,55,23
24,try,55,143,37,23
23,{,98,143,15,24
25,line,99,170,47,20
28,=,151,170,16,13
26,input,173,170,186,24
27,readLine();,173,170,186,24
29,unknown_1,55,197,14,24
30,catch,76,197,58,20
31,unknown_2,143,197,11,24
32,IOException,163,197,123,24
35,e,292,197,16,17
33,unknown_3,316,197,11,24
34,{,336,197,15,24
36,line,99,224,47,20
38,=,151,224,16,13
37,null;,174,224,55,23
39,unknown_4,55,251,14,24
40,while,53,278,60,20
41,unknown_5,121,278,12,24
42,line,142,278,47,20
46,!=,198,278,23,19
43,null,228,278,47,20
44,unknown_6,283,278,12,24
45,{,304,278,14,24
47,if,98,305,26,20
48,unknown_7,132,305,11,24
49,4,155,305,215,24
50,line.trim(),155,305,215,24
51,equals,155,305,215,24
52,unknown_8,380,305,23,13
53,unknown_9,413,305,12,24
54,unknown_10,435,305,11,24
55,{,455,305,15,24
56,if,141,332,26,20
57,unknown_11,175,332,12,24
58,sb,196,332,33,20
59,Zength(),228,332,89,24
65,unknown_13,324,332,16,16
64,0,346,332,16,19
60,unknown_12,370,332,11,24
61,"sb,append(",390,332,110,24
62,"""In""",509,332,46,24
63,);,564,332,22,24
66,"sb,append(",142,359,109,24
67,line,261,359,47,20
68,);,316,359,21,24
69,unknown_14,98,386,14,24
71,try,98,413,37,23
70,{,142,413,14,24
72,line,142,440,47,20
75,=,195,440,16,13
73,input,216,440,186,24
74,readLine();,216,440,186,24
76,unknown_15,98,467,14,24
77,catch,119,467,59,20
78,unknown_16,186,467,11,24
79,IOException,206,467,123,24
82,e,335,467,16,17
80,unknown_17,359,467,12,24
81,unknown_18,379,467,15,24
83,line,142,494,47,20
85,=,195,494,16,13
84,null;,217,494,55,23
86,unknown_19,184,521,15,24
87,unknown_20,55,548,14,24
89,return,55,575,69,19
88,sb.tostring();,131,575,152,24
90,unknown_21,11,602,15,24
